"eng","Comment"
"#cwwood7","293"
"Chocoboy
“Ready, and...”",""
"Chocoboy
“Congrats on your first catch!”",""
"Chocoboy
“It's my special way of
 saying thanks!”",""
"{Squall}
“Oh... I'm going now.”",""
"Chocoboy
“Hey, hold on a sec...
 Hold your chocobos...”",""
"Chocoboy
“To celebrate your first catch,
 I wanna give you a ‘chicobo' as a present.”",""
"{Squall}
“No, I'm not interested in a sma...”",""
"Chocoboy
“Come on, name it.”",""
"Chocoboy
“Ok, now that the theme song is playing,
 here's an explanation of ‘Chocobo World'.”",""
"Chocoboy
“It's real easy!!!",""
"Chocoboy
“From the menu's [Save],
 select ‘Chocobo World'.”",""
"Chocoboy
“Then, you can communicate with
 ‘Chocobo World'”",""
"Chocoboy
“Well, have a safe and fun journey!
 Bye!”",""
"Chocoboy
“How's it going?  Back for more, eh?
 Thanks for the business.”",""
"Chocoboy
“You want me to explain...?”
No
Yes",""
"Chocoboy
“Didn't think so!
 Well, good luck to ya.”",""
"“ChocoWhis menu.”
To detect:  [ChocoSonar]
To catch:   [ChocoZiner]
Help Me
No way, I'm not doing this",""
"Chocoboy
“So!  You wanna catch a chocobo?”
Yes
No",""
"Chocoboy
“You need a whistle to catch one.
 It's called a {Yellow}[ChocoWhis]{White}.  Want one?”
Are you going to charge me?
No thanks",""
"Chocoboy
“Nah, I won't charge you.
 Here, there's two types, ok?”",""
"Chocoboy
“...But, it's gonna cost you 1,000 Gil
 for {YellowBlink}‘my lecture'{White} on how to use'em.”
...Pay it
Forget it...",""
"Chocoboy
“Thanks.”",""
"Chocoboy
“Allow me to explain.  The 2 whistles are for
 {Yellow}location{White}, which is the [{Yellow}ChocoSonar{White}], and
 {Yellow}action{White}, which is the [{Yellow}ChocoZiner{White}].”",""
"Chocoboy
“If you sound the [{Yellow}ChocoZiner{White}]
 somewhere in this forest, ‘chicobos' will
 {WhiteBlink}fall{White} from outta nowhere.”
{NewPage}
“You can tell {WhiteBlink}where{White} by the
 [{Yellow}ChocoSonar{White}]'s sound.
 Select the whistle with the {x0527}
 and hold {x0524} while walking and sounding.”",""
"{Squall}
“I don't want any small ones.
 I need to be able to ride it.”",""
"Chocoboy
“Hold your chocobos...
 When there's only {YellowBlink}1{White} ‘chicobo' left,
 the ‘mother chocobo' gets worried
 and starts looking for it.”",""
"{Squall}
“So that's when you catch it...”",""
"Chocoboy
“EXACTLY!”",""
"Chocoboy
“They're quite well behaved.”",""
"Chocoboy
“Let me review everything with you.
 First, {x0527} to select the [{Yellow}Sonar{White}],
 and {x0524} to sound it.”
{NewPage}
“{WhiteBlink}A different sound{White} tells you
 where the chicobos are.”
{NewPage}
“Then, {x0527} to select the [{Yellow}Ziner{White}]
 and {x0524} for them to {WhiteBlink}fall{White}.”",""
"Chocoboy
“When you talk to the lone ‘chicobo',
 BOOM!  The mother appears.”",""
"Chocoboy
“By the way, the [{Yellow}Sonar{White}] sound when
 they're {WhiteBlink}not around{White} is...”",""
"Chocoboy
“And the [{Yellow}Sonar{White}] sound when
 they {WhiteBlink}are around{White} is...”",""
"Chocoboy
“Got it?  I hope so.”",""
"Chocoboy
“Hey?  You look concerned.
 That's where I come in!”
{NewPage}
“Press {x0527} and select [{Yellow}Help Me{White}] and for a
 ‘{YellowBlink}Bargain Price{White}', I'll catch one for you.”",""
"Chocoboy
“Oh, and one thing:
 if you sound the ‘Ziner' where there are {Yellow}no{White}
 chicobos around, your whistle will be {Yellow}stolen{White}!
 After that, you'll have to ‘{YellowBlink}pay{White}' for it.”",""
"Chocoboy
“Well, good luck to ya!”",""
"“Did you call me?  Give up?
 Yeah, I thought so.  I suggest you give up.
 That will be 1,200 Gil please.”
Pay it
No way",""
"Chocoboy
“Thanks!
 Watch the master in action!”",""
