"Text";"Comment"
"#cwwood7";"293"
"Chocoboy
Prêt...";""
"Chocoboy
Boboulot, le grand!";""
"Chocoboy
'Boboulot' ça veut dire Bravo
dans le langage des Chocobos.";""
"{Squall}
Bon, je dois y aller.";""
"Chocoboy
Hé, attends une seconde!";""
"Chocoboy
Pour fêter ton premier Chocobo,
je veux te donner un souvenir.";""
"{Squall}
Euh, je veux pas un petit...";""
"Chocoboy
Tu peux lui donner un nom.";""
"Chocoboy
Tu entends cette musique? C'est celle
de Chocobo World. Je vais t'expliquer.";""
"Chocoboy
C'est façile!";""
"Chocoboy
Dans le menu 'Sauver',
choisis Chocobo World.";""
"Chocoboy
Alors,vons ponvez communiquer avec
Chocobo World.";""
"Chocoboy
Amuse-toi bien, le grand!";""
"Chocoboy
Tu veux autre chose? Tu es
un bon client, tu sais?";""
"Chocoboy
Tu veux des explications?
Non
Oui";""
"Chocoboy
C'est ce que je pensais.
Bonne chance, le grand!";""
"Menu du chocapo
Repérer: chocoSonar
Attirer: chocoAimant
Aide
Annuler";""
"Chocoboy
Tu veux attraper un Chocobo?
Oui
Non";""
"Chocoboy
Il faut un appeau pour attirer les
Chocobos: un chocapo. Tu en veux un?
Ça coûte cher?
Non merci";""
"Chocoboy
Le chocapo a 2 fonctions.
Pour toi, c'est gratuit...";""
"Chocoboy
Hum! Mais mon explication sur la façon
d'utiliser le chocapo coûte 1.000 gils.
Payer
Laisser tomber";""
"Chocoboy
Merci.";""
"Chocoboy
Le chocapo permet de repérer les bébés,
grâce au chocosonar. Le chocoAimant
permet d'attirer ces oisillons...";""
"Chocoboy
Si tu es au bon endroit, les bébés
Chocobos descendront du ciel...
{NewPage}
Le chocosonar t'indique si tu
as trouvé le lieu idéal...
{NewPage}
Appuie sur {x0527} pour activer le chocapo.
Puis utilise la touche {x0524} en marchant.";""
"{Squall}
Je ne veux pas de bébés Chocobos.
Je veux pouvoir voler avec!";""
"Chocoboy
Attends! Lorsque tu as attiré tous les
bébés, la maman Chocobo s'inquiète et
viens voir ce qui se passe...";""
"{Squall}
Et là, je l'attrape, c'est ça?";""
"Chocoboy
Exactement!";""
"Chocoboy
Ils sont bien dressés.";""
"Chocoboy
En bref, touche {x0527} pour allumer le
chocosonar, touche {x0524} pour l'utiliser.
{NewPage}
Une fois au bon endroit appuie sur {x0527}
pour activer le chocoAimant, puis sur
{x0524} pour faire descendre les bébés.";""
"Chocoboy
Quand tu as 'aimanté' tous les
oisillons, paf! La maman arrive!";""
"Chocoboy
Quand il n'y a pas de Chocobo dans
le coin, le chocosonar fait...";""
"Chocoboy
S'il y a des chocobos pas loin,
le bruit du chocosonar est...";""
"Chocoboy
T'as tout pigé, le grand?";""
"Chocoboy
Si t'as rien compris, t'as qu'à me
demander. Appuie juste sur {x0527} et
choisis 'Aide'. Je t'attraperai un
Chocobo pour une somme raisonnable.";""
"Chocoboy
Attention, les Chocobos sont futés. Ils
sont capables de te voler ton chocapo.
{NewPage}
Mais, tu pourras toujours
m'en racheter un pas trop cher.";""
"Chocoboy
Bonne chance, le grand!";""
"Chocoboy
T'y arrives pas, hein? Je peux m'en
occuper pour 1200 gils, si tu veux.
Payer
Pas question";""
"Chocoboy
Merci. Prends en de
la graine, grand!";""
"Chocoboy
Petits Chocos... Chocos... Chocobos.";""
"Chocoboy
J'ai dit venez ici BANDE DE CHOCOS!!";""
"Chocoboy
Quand même! Je suis bon, non?";""
"Chocoboy
Et voilà le travail.
A ton service, le grand.";""
"(Oh! On m'a volé mon chocapo!)";""
"(Hé! Mon chocapo est revenu!?)";""
"Chocoboy
Tu as perdu ton chocapo?";""
"Chocoboy
Quel dommage. J'en ai d'autres,
si tu as 700 gils à dépenser...
Payer
Laisser tomber";""
"Chocoboy
Des questions?
Le chocoSonar
Le chocoAimant
Les forêts Chocobos
Toi, le gosse";""
"Chocoboy
C'est juste un capteur... Je crois
qu'il réagit à la couleur jaune vif.";""
"Chocoboy
Les oisillons confondent le son de
l'appeau avec les cris de leur maman!";""
"Chocoboy
Il existe 7 forêts Chocobos sur cette
planète. Mais je crois que seulement 6
d'entre elles sont peuplées de Chocobos.";""
"Chocoboy
Je pense que je suis le meilleur
spécialiste de Chocobos au monde.";""
"Chocoboy
Qu'est-ce que tu veux?
Un conseil                 100 gils
10 chocoLégumes       6000 gils
Un renseignement           10 gils
Rien du tout";""
"Chocoboy
Forêt Fun: chocobowling avec
4 quilles et 1 boule.";""
"Chocoboy
Merci, grand.";""
"Chocoboy
Tu n'as pas assez d'argent.";""
"Je dois partir avec ce Chocobo.
Je vais rester encore un peu.";""
"";""
"";""
"Reçu: Roc météore";""
"Reçu: Roc flamboyant";""
"Reçu: Roc Ultima";""
"Chocoboy
Salut, les gars. Ici
c'est la Forêt Fun.
{NewPage}
Vous allez faire peur aux Chocobos
si vous venez tous à la fois.";""
"Chocoboy
Là, on est dans la forêt Fun.
C'est vraiment difficile
d'attraper des Chocobos ici.";""
"Chocoboy
Oh, ce Chocobo t'a fait un cadeau.
Ça prouve qu'il t'aime bien...";""
"Chocoboy
Les Chocobos de la région t'ont adopté.
Tu n'as plus rien à chercher ici.";""
"Chocoboy
C'est pas comme ça que je
vais faire fortune, moi!";""
"Chocoboy
Boboulot, vraiment!";""
"Chocoboy
T'as toujours pas trouvé, hein?";""
"#cwwood6";"292"
"Chocoboy
Prêt...";""
"Chocoboy
Boboulot, le grand!";""
"Chocoboy
'Boboulot' ça veut dire Bravo
dans le langage des Chocobos.";""
"{Squall}
Bon, je dois y aller.";""
