"ita","Comment"
"#cwwood7","293"
"Chocoboy
“Allora...”",""
"Chocoboy
“Congratulazioni per la prima presa!”",""
"Chocoboy
“E ora...presentiamo la dinamica
 offerta del Chocobo!!”",""
"{Squall}
“Posso andarmene?”",""
"Chocoboy
“No, aspetta, aspetta”",""
"Chocoboy
“Come premio per la prima presa
 ti darò un Kochocobo in regalo.”",""
"{Squall}
“No, veramente......”",""
"Chocoboy
“Forza, dagli un nome!”",""
"Chocoboy
“Come capirai dal sottofondo musicale
 è l'ora del ‘Chocobo World'!!”",""
"Chocoboy
“È facile!”",""
"Chocoboy
“Scegli ‘Salva' dal menu
 e quindi ‘Chocobo World'.”",""
"Chocoboy
“Così, puoi comunicare con
‘Chocobo World'.”",""
"Chocoboy
“Bene, buon viaggio
 e divertiti!”",""
"Chocoboy
“Vuoi tentare di nuovo? Grazie
 della preferenza accordatami!”",""
"Chocoboy
“Istruzioni......?”
 Non servono
 Servono",""
"Chocoboy
“Me lo immaginavo!
 Forza allora!”",""
"{Yellow}♫{White}             Il menu del Chocoflauto             {Yellow}♫
{White}Per trovare il Chocobo:   'ChocoSonar'
Per catturare il Chocobo: 'ChocoZiner'
Aiutami!
Meglio morire che suonare questo flauto",""
"Chocoboy
“Ah! Vuoi prendere il Chocobo?”
 Sì
 No",""
"Chocoboy
“Ti serve un flauto speciale,
 si chiama: {Yellow}‘Chocoflauto'{White}.”
 Costa soldi?
 Non lo voglio",""
"Chocoboy
“No, te lo regalo!
 Guarda, te ne do 2 tipi, Ok?”",""
"Chocoboy
“Però devi darmi 1000 guil per
 le lezioni d'uso e l'attestato.”
 Pago
 Non pago",""
"Chocoboy
“Grazie!”",""
"Chocoboy
“Ora ti spiego come funzionano:
 il {Yellow}Chocosonar{White} misura la {Yellow}posizione{White},
 il {Yellow}Chocoziner{White} permette l'{Yellow}azione{White}.”",""
"Chocoboy
“Se suoni il {Yellow}Chocoziner{White} in un punto del bosco,
 il Kochocobo, attirato dalla musica, {WhiteBlink}cadrà giù{White}.
 Puoi capire {WhiteBlink}dove{White} usando il {Yellow}Chocosonar{White}.
 Usa {x0527} per scegliere il flauto
 e {x0524} per suonarlo camminando.”",""
"{Squall}
“Non voglio il Kochocobo,
 ne voglio uno grande da cavalcare.”",""
"Chocoboy
“No, ascoltami!
 Se resta {YellowBlink}1{White} solo Kochocobo, la mamma
 Chocobo si preoccupa e lo cerca.”",""
"{Squall}
“E allora lo potrò
 prendere...”",""
"Chocoboy
“ESATTO!”",""
