Section data name;Section Widget id;Text Sub id;Text
Card misc text data;0;0;\n
Card misc text data;0;1;Are you sure?\nYes\nNo
Card misc text data;0;2;Select 
Card misc text data;0;3; card(s) you want
Card misc text data;0;4;Card acquired
Card misc text data;0;5;Card lost
Card misc text data;0;6;Play again?\nYes\nNo
Card misc text data;0;7;Rules: 
Card misc text data;0;8;· 
Card misc text data;0;9;/
Card misc text data;0;10;Ari
Card misc text data;0;11;\n· Open
Card misc text data;0;12;\n· Random
Card misc text data;0;13;\n· Sudden Death
Card misc text data;0;14;Same
Card misc text data;0;15;Plus
Card misc text data;0;16;Same Wall
Card misc text data;0;17;\n· Elemental
Card misc text data;0;18;\n· Trade Rule: 
Card misc text data;0;19;Null
Card misc text data;0;20;One
Card misc text data;0;21;Diff
Card misc text data;0;22;Direct
Card misc text data;0;23;All
Card misc text data;0;24;\nPlay\nQuit
Card misc text data;0;25;Used up
Card misc text data;0;26;
Card misc text data;0;27;
Card misc text data;0;28;
Card name;1;0;Geezard
Card name;1;1;Funguar
Card name;1;2;Bite Bug
Card name;1;3;Red Bat
Card name;1;4;Blobra
Card name;1;5;Gayla
Card name;1;6;Gesper
Card name;1;7;Fastitocalon-F
Card name;1;8;Blood Soul
Card name;1;9;Caterchipillar
Card name;1;10;Cockatrice
Card name;1;11;Grat
Card name;1;12;Buel
Card name;1;13;Mesmerize
Card name;1;14;Glacial Eye
Card name;1;15;Belhelmel
Card name;1;16;Thrustaevis
Card name;1;17;Anacondaur
Card name;1;18;Creeps
Card name;1;19;Grendel
Card name;1;20;Jelleye
Card name;1;21;Grand Mantis
Card name;1;22;Forbidden
Card name;1;23;Armadodo
Card name;1;24;Tri-Face
Card name;1;25;Fastitocalon
Card name;1;26;Snow Lion
Card name;1;27;Ochu
Card name;1;28;SAM08G
Card name;1;29;Death Claw
Card name;1;30;Cactuar
Card name;1;31;Tonberry
Card name;1;32;Abyss Worm
Card name;1;33;Turtapod
Card name;1;34;Vysage
Card name;1;35;T-Rexaur
Card name;1;36;Bomb
Card name;1;37;Blitz
Card name;1;38;Wendigo
Card name;1;39;Torama
Card name;1;40;Imp
Card name;1;41;Blue Dragon
Card name;1;42;Adamantoise
Card name;1;43;Hexadragon
Card name;1;44;Iron Giant
Card name;1;45;Behemoth
Card name;1;46;Chimera
Card name;1;47;PuPu
Card name;1;48;Elastoid
Card name;1;49;GIM47N
Card name;1;50;Malboro
Card name;1;51;Ruby Dragon
Card name;1;52;Elnoyle
Card name;1;53;Tonberry King
Card name;1;54;Wedge, Biggs
Card name;1;55;Fujin, Raijin
Card name;1;56;Elvoret
Card name;1;57;X-ATM092
Card name;1;58;Granaldo
Card name;1;59;Gerogero
Card name;1;60;Iguion
Card name;1;61;Abadon
Card name;1;62;Trauma
Card name;1;63;Oilboyle
Card name;1;64;Shumi Tribe
Card name;1;65;Krysta
Card name;1;66;Propagator
Card name;1;67;Jumbo Cactuar
Card name;1;68;Tri-Point
Card name;1;69;Gargantua
Card name;1;70;Mobile Type 8
Card name;1;71;Sphinxara
Card name;1;72;Tiamat
Card name;1;73;BGH251F2
Card name;1;74;Red Giant
Card name;1;75;Catoblepas
Card name;1;76;Ultima Weapon
Card name;1;77;Chubby Chocobo
Card name;1;78;Angelo
Card name;1;79;Gilgamesh
Card name;1;80;MiniMog
Card name;1;81;Chicobo
Card name;1;82;Quezacotl
Card name;1;83;Shiva
Card name;1;84;Ifrit
Card name;1;85;Siren
Card name;1;86;Sacred
Card name;1;87;Minotaur
Card name;1;88;Carbuncle
Card name;1;89;Diablos
Card name;1;90;Leviathan
Card name;1;91;Odin
Card name;1;92;Pandemona
Card name;1;93;Cerberus
Card name;1;94;Alexander
Card name;1;95;Phoenix
Card name;1;96;Bahamut
Card name;1;97;Doomtrain
Card name;1;98;Eden
Card name;1;99;Ward
Card name;1;100;Kiros
Card name;1;101;Laguna
Card name;1;102;Selphie
Card name;1;103;Quistis
Card name;1;104;Irvine
Card name;1;105;Zell
Card name;1;106;Rinoa
Card name;1;107;Edea
Card name;1;108;Seifer
Card name;1;109;Squall
Scan text;2;0;Uses a sword called\na gunblade.\nSpecial skill is\nRenzokuken, using\nthe gunblade.\nSilent, and a bit\ncold.
Scan text;2;1;Loves the hot dogs\nsold in the Garden\ncafeteria.\nUses close combat\nfighting skills to\ndefeat enemies with\npunches and kicks.
Scan text;2;2;An expert marks-\nman.  Can use\nspecialized bullets\nto attack enemies.\nDoesn't perform\nvery well under\npressure.
