Section data name;Section Widget id;Text Sub id;Text
Card misc text data;0;0;\n
Card misc text data;0;1;¿Está bien?\nSí.\nNo.
Card misc text data;0;2;Escoge 
Card misc text data;0;3; carta(s).
Card misc text data;0;4;Has obtenido la carta de 
Card misc text data;0;5;Has perdido la carta de 
Card misc text data;0;6;¿Juegas de nuevo?\nSí.\nNo.
Card misc text data;0;7;Reglas: 
Card misc text data;0;8;· 
Card misc text data;0;9;/
Card misc text data;0;10;Ari
Card misc text data;0;11;\n· Abierto
Card misc text data;0;12;\n· Mano mezclada
Card misc text data;0;13;\n· Hasta la muerte
Card misc text data;0;14;Igual
Card misc text data;0;15;Suma
Card misc text data;0;16;Pared
Card misc text data;0;17;\n· Elemental
Card misc text data;0;18;\n· Regla de pago: 
Card misc text data;0;19;Null
Card misc text data;0;20;Una
Card misc text data;0;21;Diferencia
Card misc text data;0;22;Directo
Card misc text data;0;23;Todas
Card misc text data;0;24;\nJugar.\nNo jugar.
Card misc text data;0;25;Desaparecida
Card misc text data;0;26;
Card misc text data;0;27;
Card misc text data;0;28;{x08}
Card name;1;0;Álagar
Card name;1;1;Fungo
Card name;1;2;Mosquito
Card name;1;3;Mordélago
Card name;1;4;Blinura
Card name;1;5;Gueila
Card name;1;6;Guésper
Card name;1;7;Focarrol falso
Card name;1;8;Globulus
Card name;1;9;Kedachiku
Card name;1;10;Cocatoris
Card name;1;11;Grat
Card name;1;12;Buel
Card name;1;13;Unipladio
Card name;1;14;Medusa
Card name;1;15;Bejelmejel
Card name;1;16;Bipla
Card name;1;17;Venoma
Card name;1;18;Sombra
Card name;1;19;Grendel
Card name;1;20;Abrazador
Card name;1;21;Langosta
Card name;1;22;Esqueleto
Card name;1;23;Acorazado
Card name;1;24;Tricéfalo
Card name;1;25;Focarrol
Card name;1;26;Foca mutante
Card name;1;27;Ochú
Card name;1;28;SAM08G
Card name;1;29;Oso de Trabia
Card name;1;30;Cactilio
Card name;1;31;Tomberi
Card name;1;32;Gusano Ebis
Card name;1;33;Túlipo
Card name;1;34;Las manos
Card name;1;35;Arqueosaurio
Card name;1;36;Bom
Card name;1;37;Blitz
Card name;1;38;Wendigo
Card name;1;39;Bengal
Card name;1;40;Galkimasera
Card name;1;41;Draco
Card name;1;42;Adamantaimai
Card name;1;43;Seisojos
Card name;1;44;Férreo
Card name;1;45;Bégimo
Card name;1;46;Quimera
Card name;1;47;Alienígena
Card name;1;48;Invencible
Card name;1;49;GIM47N
Card name;1;50;Molbol
Card name;1;51;Gran dragón
Card name;1;52;Elnoir
Card name;1;53;Rey tomberi
Card name;1;54;Wedge y Biggs
Card name;1;55;Viento y Trueno
Card name;1;56;Elviore
Card name;1;57;X-ATM092
Card name;1;58;Yuraba
Card name;1;59;Namtal-utok
Card name;1;60;Gárgola
Card name;1;61;Abadón
Card name;1;62;Dolmen
Card name;1;63;Oleoplasto
Card name;1;64;Shumi
Card name;1;65;Cristalino
Card name;1;66;Gestalt
Card name;1;67;Cactilión
Card name;1;68;Neodragón
Card name;1;69;Gargantúa
Card name;1;70;Unidad IB-8
Card name;1;71;Esfinge
Card name;1;72;Tiamant
Card name;1;73;BGH251F2
Card name;1;74;Gigante
Card name;1;75;Catoblepas
Card name;1;76;Ente Artema
Card name;1;77;Chocogordo
Card name;1;78;Angelo
Card name;1;79;Gilgamesh
Card name;1;80;Mogurito
Card name;1;81;Chocobito
Card name;1;82;Quetzal
Card name;1;83;Shiva
Card name;1;84;Ifrit
Card name;1;85;Sirena
Card name;1;86;Seclet
Card name;1;87;Minotauro
Card name;1;88;Rubí
Card name;1;89;Diablo
Card name;1;90;Leviatán
Card name;1;91;Odín
Card name;1;92;Eolo
Card name;1;93;Cerbero
Card name;1;94;Alejandro
Card name;1;95;Fénix
Card name;1;96;Bahamut
Card name;1;97;Helltrain
Card name;1;98;Edén
Card name;1;99;Ward
Card name;1;100;Kiros
Card name;1;101;Laguna
Card name;1;102;Selphie
Card name;1;103;Quistis
Card name;1;104;Irvine
Card name;1;105;Zell
Card name;1;106;Rinoa
Card name;1;107;Edea
Card name;1;108;Seifer
Card name;1;109;Squall
Scan text;2;0;Guerrero hábil en el\nuso del sable\npistola, con el que\naplica variedad de\ntécnicas especiales.\nEs frío y poco\nhablador.
Scan text;2;1;Experto karateka,\ncuando se ve en\nproblemas usa\ntécnicas secretas.\nAma los bocatas\ndel comedor\ndel “jardín”.
Scan text;2;2;Hábil tirador que\nutiliza también\nbalas mágicas. A\npesar de su gran\ndestreza, no\nresponde muy bien\nbajo presión.
Scan text;2;3;Si bien su arma es\nel látigo, ante el\nriesgo usa técnicas\naprendidas de los\nmonstruos. Tiene\nun club de fans\nen el “jardín”.
Scan text;2;4;Miembro de “Búhos\ndel bosque”, grupo\nde resistencia de\nTimber. Usa armas\narrojadizas y\ntécnicas especiales\njunto con su perro.
Scan text;2;5;Llegó al Jardín de\nBalamb al cambiar\nde escuela. Maneja\nun nunchaku\nenorme, y a veces\naplica magias que\nno tiene en reserva.
Scan text;2;6;Uno de los mejores\nguerreros del\nJardín de Balamb.\nPor su carácter\nrebelde, aún no es\nSeed. Su arma es\nel sable pistola.
Scan text;2;7;Bruja de grandes\npoderes mágicos.\nCuando la situación\nlo requiere, recurre\na lo más temible de\nsu repertorio:\nla Gran Magia.
Scan text;2;8;Tipo simpático, de\ngran corazón. Su\narma favorita es la\nametralladora. Si el\ngrupo corre peligro\nse lanza a proteger\na sus compañeros.
Scan text;2;9;Guerrero que porta\nuna espada Khatar\nen cada mano. Su\nestilo de lucha,\ncomo su arma, es\nmuy personal, pero\nnunca lo cambiaría.
Scan text;2;10;Guerrero de gran\nfuerza. Utiliza un\narpón enorme que\nmaneja como una\npluma, aunque un\nhombre común no\npodría ni alzarlo.
Scan text;2;11;12.
Scan text;2;12;13.
Scan text;2;13;14.
Scan text;2;14;15.
Scan text;2;15;16.
Scan text;2;16;0.
Scan text;2;17;Arma de apoyo\ndel ejército de\nGalbadia. Ataca\ncon misiles y\nmagia. Los últimos\nmodelos emiten un\nrayo muy potente.
Scan text;2;18;Ser semilíquido,\nmuy resistente al\nataque físico.\nCada blinura es\nafín a un ELM\ndiferente, lo que\ndificulta el ataque.
Scan text;2;19;Monstruo volador\nde Galbadia que\nataca lanzándose\nen picado. Si lo\nhieren ataca\ngenerando viento\ncon las alas.
Scan text;2;20;Vive en lugares\nhúmedos. Se\nacerca sin hacer\nruido y ataca con\nferocidad. En la\nadultez, causa\nestados alterados.
Scan text;2;21;Monstruo con una\nespecie de sierra\ncircular en torno a\nla cara. Su modo\nde ataque varía\nsegún su estado\nde ánimo.
Scan text;2;22;Monstruo flotante\nque usa magias de\nELM Frío. Al estar\nbaja de VIT, quita\nVIT a sus víctimas\nchupándoles la\nsangre.
Scan text;2;23;Arma viviente del\nejército de Galbadia\ncon cañones de\n155 mm en los\nhombros y un cañón\nVulcan de 60 mm en\nla boca.
Scan text;2;24;Robot veterano\ndel ejército de\nGalbadia. Además\nde su cañón láser,\ntiene macizas\nbolas de hierro\na guisa de puños.
Scan text;2;25;Monstruo que posee\nuna hoja muy\nafilada. Esta hoja\ntiene cualidades\ncurativas y es muy\nútil para producir\nobjetos o magias.
Scan text;2;26;Monstruo muy\nresistente a\nmagias, pero\nvulnerable al\nataque con con\nespada u otras\narmas.
Scan text;2;27;Guardia del castillo\nde Artemisa.\nMuchos han muerto\nen sus manos al no\npoder usar magias\nni otros recursos\ndentro del castillo.
Scan text;2;28;Alter ego de Andro.\nAtaca con técnicas\ndiferentes a las de\nsu otro yo. Puede\ninvocar a otros\nmonstruos y dictar\ncondenas a muerte.
Scan text;2;29;Es oriunda de las\nestepas nevadas\ndel norte. Por su\ngran vitalidad, es\narduo derribarla.\nAl enfadarse, lanza\nun aliento helado.
Scan text;2;30;Gran serpiente\nvenenosa. Ataca\nenroscándose a sus\npresas. Cuando\nestá baja de\nvitalidad, expulsa\nun fluido tóxico.
Scan text;2;31;Su cuerpo es una\nespecie de bolsa\ndigestiva, en la que\ndeshace a la presa\ntras atraparla con\nlas antenas. Emite\nun gas somnífero.
Scan text;2;32;Puede petrificar al\nrival con la mirada.\nAfín al ELM Rayo,\ngenera electricidad\ncon las alas. Con\nlos años aprende a\nusar Electroshock.
Scan text;2;33;Es muy ágil,\naunque no parece.\nUsa la técnica\nMegavibración,\ncon la que puede\natacar a la vez\na varias presas.
Scan text;2;34;Especie de\nmurciélago que es\ncasi pura boca.\nVive en lugares\noscuros y se lanza\nen picado a morder\na sus víctimas.
Scan text;2;35;Monstruo afín al\nELM Rayo. Al ser\natacado con\nese ELM se carga\neléctricamente.\nMejor no atacarlo\nen ese momento.
Scan text;2;36;Misterioso pez que\nnada bajo la tierra.\nComo al nadar sólo\nmuestra su aleta\ndorsal, no muchos\nconocen su real\napariencia.
Scan text;2;37;Misterioso pez que\nnada bajo la tierra.\nComo al nadar sólo\nmuestra su aleta\ndorsal, no muchos\nconocen su real\napariencia.
Scan text;2;38;Arma antipersonal\nde Esthar. Por\nun fallo de diseño,\nno distingue aliados\nde enemigos.\nSu mejor arma es\nel desintegrador.
Scan text;2;39;Fino como una\nhoja, se supone\nque es un ser vivo\npero no se sabe\ncon certeza. Dicen\nque al morir lleva\nconsigo al enemigo.
Scan text;2;40;Dragón nacido con\n6 ojos debido a una\nmutación. Utiliza\nmagias de ELM\nFuego, así como\nataques de hálito\ny otros.
Scan text;2;41;Organismo gaseoso\nque flota. Parece\ndébil, pero domina\nmagias que causan\nestados alterados.\nEsto lo convierte en\nun rival respetable.
Scan text;2;42;Arma antipersonal\nde Esthar que\nflota en el aire por\nobra de un motor\nantigravedad.\nAtaca apoyándose\nen sus patas.
Scan text;2;43;Su coraza lo hace\nresistente al\nataque físico.\nEs paticorto, con\npoco equilibrio, y\nes fácil tumbarlo\ncon un buen golpe.
Scan text;2;44;Insecto mutante\nvolador. No es un\noponente temible,\npor lo que si se lo\nataca con calma\nresulta fácil\nderrotarlo.
Scan text;2;45;Monstruo voluble\nque alterna magias\nbasadas en Fuego,\nFrío y Rayo,\nsegún sus\nmetamorfosis\ndurante la lucha.
Scan text;2;46;Lo creó Artemisa\na partir de un\ndragón. Lo afectan\nataques de Frío\ny Fuego, pero\ncambia sus puntos\ndébiles al luchar.
Scan text;2;47;Monstruo de púas\nafiladas que ataca\ncon magia. Cuando\nlo hieren, toma una\npostura defensiva\npara reducir\nel daño recibido.
Scan text;2;48;Monstruo hercúleo\nque desconoce la\nmagia. En sus\nvarios ataques\nfísicos hace gala\nde su increíble\nmusculatura.
Scan text;2;49;Su especialidad es\ndormir al rival\ny atacarlo luego.\nA veces lanza por\nla boca un jugo\ngástrico que baja\nla resistencia.
Scan text;2;50;Personalidad real\ndel doble del\npresidente Deling.\nAtaca con sus\nbrazos viscosos y\npuede provocar\nestados alterados.
Scan text;2;51;Tiene cuatro\ngarras enormes y\nafiladas. Además\nde la fuerza bruta,\nusa técnicas como\nla expulsión de\ngases nocivos.
Scan text;2;52;Monstruo de tres\ncabezas. Las de\nlos costados son\nfalsas, pero\nmuerden y arrojan\nveneno como si\nfueran auténticas.
Scan text;2;53;Antiguamente era\nun ser acúatico,\npero se adaptó a\nla vida en tierra.\nDe adulto puede\natravesar al rival\ncon sus pinzas.
Scan text;2;54;Artemisa lo creó a\npartir de piedras\npreciosas de\nsu tesoro. Tiene\nbuenos reflejos y\ncontraataca de\ninmediato.
Scan text;2;55;Gran mano\nizquierda que sale\nde la tierra. Las\nde cierto nivel\npueden sanar\nestados alterados\nde sus aliados.
Scan text;2;56;Gran mano derecha\nque emerge de la\ntierra.\nNo sabe usar magia,\npero compensa esa\ncarencia con una\nfuerza prodigiosa.
Scan text;2;57;Causa estados\nalterados con su\nhálito. Al vencerlo,\na veces es posible\nobtener Piedras\ndel vigor y otros\nobjetos preciosos.
Scan text;2;58;Guerrero del más\nallá. Lucha sin\ntregua, ya que por\nsu condición no\nteme a la muerte.\nDomina el letal arte\nde la alta esgrima.
