Section data name;Section Widget id;Text Sub id;Text
Card name;0;0;Bogomile
Card name;0;1;Fungus
Card name;0;2;Elmidea
Card name;0;3;Nocturnus
Card name;0;4;Incube
Card name;0;5;Aphide
Card name;0;6;Elastos
Card name;0;7;Diodon
Card name;0;8;Carnidea
Card name;0;9;Larva
Card name;0;10;Gallus
Card name;0;11;Orchida
Card name;0;12;Schizoïd
Card name;0;13;Licorne
Card name;0;14;Xylopode
Card name;0;15;Koatl
Card name;0;16;Malaku
Card name;0;17;Arconada
Card name;0;18;Formicide
Card name;0;19;Feng
Card name;0;20;Héra
Card name;0;21;Selek
Card name;0;22;Weevil
Card name;0;23;Scavenger
Card name;0;24;Adéphage
Card name;0;25;Phantom
Card name;0;26;Satyrux
Card name;0;27;Trogiidae
Card name;0;28;Barbarian
Card name;0;29;Berserker
Card name;0;30;Pampa
Card name;0;31;Tomberry
Card name;0;32;Célébis
Card name;0;33;Eiffel
Card name;0;34;Cariatide
Card name;0;35;T-Rex
Card name;0;36;Succube
Card name;0;37;Tikal
Card name;0;38;Wendigo
Card name;0;39;Marsupial
Card name;0;40;Draconus
Card name;0;41;Moloch
Card name;0;42;Ao
Card name;0;43;Polyphage
Card name;0;44;Ekarissor
Card name;0;45;Kanibal
Card name;0;46;Chimaira
Card name;0;47;Koyo K
Card name;0;48;Protesis
Card name;0;49;Pikasso
Card name;0;50;Xylomid
Card name;0;51;Griffon
Card name;0;52;Sulfor
Card name;0;53;Tomberry Sr
Card name;0;54;Wedge/Biggs
Card name;0;55;Fujin/Raijin
Card name;0;56;Sulfura
Card name;0;57;Goliath
Card name;0;58;Lygus
Card name;0;59;Ecorché
Card name;0;60;Iguanor
Card name;0;61;Hornet
Card name;0;62;Flotix
Card name;0;63;Cyanide
Card name;0;64;Shumi
Card name;0;65;Krystal
Card name;0;66;Alienator
Card name;0;67;Pampa Senior
Card name;0;68;Acron
Card name;0;69;Agamemnon
Card name;0;70;Anakronox
Card name;0;71;Mithra
Card name;0;72;Acarnan
Card name;0;73;Omniborg
Card name;0;74;Attila
Card name;0;75;Fabryce
Card name;0;76;Monarch
Card name;0;77;GroChocobo
Card name;0;78;Angel
Card name;0;79;Gilgamesh
Card name;0;80;MiniMog
Card name;0;81;Chicobo
Card name;0;82;Golgotha
Card name;0;83;Shiva
Card name;0;84;Ifrit
Card name;0;85;Ondine
Card name;0;86;Tauros
Card name;0;87;Taurux
Card name;0;88;Ahuri
Card name;0;89;Nosferatu
Card name;0;90;Léviathan
Card name;0;91;Odin
Card name;0;92;Zéphyr
Card name;0;93;Cerbères
Card name;0;94;Alexander
Card name;0;95;Phénix
Card name;0;96;Bahamut
Card name;0;97;Helltrain
Card name;0;98;Orbital
Card name;0;99;Ward
Card name;0;100;Kiros
Card name;0;101;Laguna
Card name;0;102;Selphie
Card name;0;103;Quistis
Card name;0;104;Irvine
Card name;0;105;Zell
Card name;0;106;Linoa
Card name;0;107;Edea
Card name;0;108;Seifer
Card name;0;109;Squall
Scan text;1;0;Possède une\ngunblade.\nUtilise Renzokuken.\nFroid, silencieux\net impitoyable.
Scan text;1;1;Adore les bretzels.\nUtilise diverses\nméthodes de\ncombat rapproché.\nGare à ses coups\nde pieds et à son\npunch légendaire.
Scan text;1;2;Un tireur d'élite.\nIl se sert parfois\nde balles spéciales.\nPlutôt nerveux lors\ndes combats\nrisqués.
Scan text;1;3;Utilise un fouet.\nA la faculté\nd'apprendre les\nsorts de ses\nennemis.\nElle a un fan club\nà la BGU!
Scan text;1;4;Résistante des\n'Hiboux de la forêt'.\nUtilise une arme\nboomerang et sa\nchienne pour des\nattaques spéciales.
Scan text;1;5;Une jeune recrue\nde la BGU.\nSon arme est un\nnunchaku géant.\nElle utilise aussi\nla magie.
Scan text;1;6;Un des meilleurs\ncombattants de la\nBGU. Son caractère\ndifficile l'empêche\nde devenir un Seed.\nUtilise une gunblade.
Scan text;1;7;Prêtresse. En tant\nque telle, sa magie\nest sans limite. Elle\ndispose d'un sort\nspécial nommé\nSorcellerie.
Scan text;1;8;Un dur au grand\ncoeur. Il se sert\nd'une mitrailleuse.
Scan text;1;9;Utilise des lames\nacérées: les Katal.\nSon style de\ncombat est inconnu,\net son arme est\nunique.
Scan text;1;10;Une vraie force\nde la nature. Pour\nattaquer, il lance\nson fameux harpon.
Scan text;1;11;12
Scan text;1;12;13
Scan text;1;13;14
Scan text;1;14;15
Scan text;1;15;16
Scan text;1;16;DUMMY
Scan text;1;17;Un robot fabriqué\npar Galbadia pour\naider l'infanterie.\nEnvoie des missiles\net des sortilèges.
Scan text;1;18;Une créature quasi\nliquide. Résiste aux\nattaques armées.\nSes faiblesses\nélémentales varient\nselon les cas.
Scan text;1;19;Un monstre ailé\nvenant de Galbadia.\nAttaque en piqué.\nSes morsures sont\nredoutables.\nProvoque des\nrafales de vent.
Scan text;1;20;Vit dans les marais.\nIl attaque par\nsurprise tout ce qui\npasse à sa portée.\nA maturité, il\nutilise des attaques\nmentales.
Scan text;1;21;Son visage est muni\nd'une lame rotative.\nQuand il change de\nface, il modifie\nsa stratégie.
Scan text;1;22;Flotte dans les\nairs, a la magie\nNeige. A court d'HP,\nil utilise ses crocs\nde vampire pour\nabsorber les HP des\nses adversaires.
Scan text;1;23;Arme biologique\nGalbadienne.\nA un canon 155\nmm sur chaque\népaule + 1 mortier\nVulcan 60mm dans\nla bouche.
Scan text;1;24;Un ancien modèle\nd'arme de soutien.\nDoté d'un canon\nlaser, il se sert\naussi de ses poings\nen acier.
Scan text;1;25;Une corne effilée\ncomme un rasoir.\nCette lame, utilisée\ncomme objet, donne\ndes forces\nmagiques et\ncuratives.
Scan text;1;26;Très résistant à la\nmagie, qui n'a\npratiquement aucun\neffet sur lui. Mais\nvulnérable aux\nattaques armées.
Scan text;1;27;Garde la citadelle\nd'Ultimecia. Ses\npouvoirs sont\nénormes (ceux de\n ses adversaires\nsont désactivés!).
Scan text;1;28;Véritable forme de\nBrahman. Style de\ncombat différent.\nInvoque d'autres\nmonstres et utilise\nla Châtiment.
Scan text;1;29;Un grand monstre\ndes plaines du nord.\nDifficile à vaincre\nen raison de ses HP\nélevés. Utilise la\nmagie glaçante.
Scan text;1;30;Ce grand serpent\nvenimeux attaque\nen vous étouffant.\nQuand son niveau\nd'HP est bas, il\ncrache du venin.
Scan text;1;31;Son corps n'est\nqu'un tube digestif.\nIl tue ses ennemis\navec ses\ntentacules.\nPossède le gaz\nMorphée.
Scan text;1;32;Son regard pétrifie\nses ennemis. Ses\nbattements d'ailes\ninvoquent la Foudre.\nA maturité il peut\nutiliser Firmament.
Scan text;1;33;Malgré son air\nbalourd, il attaque\ntrès rapidement.\nSon sort Ultra\nWaves atteint tous\nses ennemis.
Scan text;1;34;Une sorte de\nchauve-souris très\nvorace.  Embusquée\ndans de sombres\nrecoins, elle\nattaque en piqué et\nmord sa victime.
Scan text;1;35;S'électrifie quand\nil reçoit la Foudre.\nSi vous l'attaquez\nlorsqu'il est\nélectrifié, vous\nserez foudroyé.
Scan text;1;36;Un poisson\nterrestre dont vous\nne voyez dépasser\nque l'aileron.\nS'agit-il d'un\nrequin?
Scan text;1;37;Un poisson\nterrestre dont vous\nne voyez dépasser\nque l'aileron.\nS'agit-il d'un\nrequin?
Scan text;1;38;Une arme ratée\nconçue il y a 20\nans à Esthar.\nAttaque aussi bien\nalliés qu'ennemis.
Scan text;1;39;Telle une ombre...\nOn dit qu'il s'agit\nd'un être biologique.\nTue ses ennemis en\nrendant son dernier\nsoupir.
