Section data name;Section Widget id;Text Sub id;Text
Battle command text section;0;0;
Battle command text section;0;1;
Battle command text section;0;2;Angriff
Battle command text section;0;3;Angriff mit Waffen
Battle command text section;0;4;Zauber
Battle command text section;0;5;Benutzt {x0e3a}
Battle command text section;0;6;G.F.
Battle command text section;0;7;Beschwört eine G.F. herbei
Battle command text section;0;8;Item
Battle command text section;0;9;Benutzt Items
Battle command text section;0;10;Multi
Battle command text section;0;11;Setzt eine Spezial-Technik ein
Battle command text section;0;12;Draw
Battle command text section;0;13;Zieht {x0e3a} aus Gegner
Battle command text section;0;14;Fressen
Battle command text section;0;15;Frißt einen Gegner
Battle command text section;0;16;
Battle command text section;0;17;
Battle command text section;0;18;Zaubern
Battle command text section;0;19;Benutzt gezogenen {x0e3a}, ohne ihn zu lagern
Battle command text section;0;20;Lagern
Battle command text section;0;21;Lagert gezogene {x0e3a}
Battle command text section;0;22;Duell
Battle command text section;0;23;Verschiedene Combo-Techniken
Battle command text section;0;24;Rauben
Battle command text section;0;25;Beim Angriff wird ein Item geklaut
Battle command text section;0;26;
Battle command text section;0;27;
Battle command text section;0;28;Shot
Battle command text section;0;29;Schießt auf Gegner mit Munition
Battle command text section;0;30;Blauer Zauber
Battle command text section;0;31;Wendet Techniken des Gegeners an
Battle command text section;0;32;Tombola
Battle command text section;0;33;Wendet einen zufällig ausgewählten {x0e3a} an
Battle command text section;0;34;Wegräumen
Battle command text section;0;35;Schwertangriff
Battle command text section;0;36;Magie
Battle command text section;0;37;Magie-Angriff der Hexe
Battle command text section;0;38;Kombi
Battle command text section;0;39;Der Hund wird herbeigerufen
Battle command text section;0;40;Limit
Battle command text section;0;41;Greift mit Limit-Technik an
Battle command text section;0;42;Limit
Battle command text section;0;43;Greift mit Limit-Technik an
Battle command text section;0;44;Limit
Battle command text section;0;45;Greift mit Limit-Technik an
Battle command text section;0;46;Abwehr
Battle command text section;0;47;Abwehr-Zustand bis zur nächsten Runde
Battle command text section;0;48;Stürmen
Battle command text section;0;49;Hast, Protes und Tobsucht auf die Truppe
Battle command text section;0;50;Behandeln
Battle command text section;0;51;Unnatürliche Zustände werden kuriert
Battle command text section;0;52;Heilen
Battle command text section;0;53;HP wird geheilt
Battle command text section;0;54;Beleben
Battle command text section;0;55;Ein Kampfunfähiger wird wiederbelebt
Battle command text section;0;56;Schatten
Battle command text section;0;57;Angriff durch HP-Verbrauch
Battle command text section;0;58;Karte
Battle command text section;0;59;Verwandelt Monster zu Karten
Battle command text section;0;60;Todesurteil
Battle command text section;0;61;Der Verurteilte stirbt nach einer Zeit
Battle command text section;0;62;Kamikaze
Battle command text section;0;63;Der {x0e42} verschwindet nach dem Angriff
Battle command text section;0;64;Saugen
Battle command text section;0;65;Saugt HP von Gegner ab
Battle command text section;0;66;LV-Minus
Battle command text section;0;67;Senkt den Monsterlevel
Battle command text section;0;68;LV-Plus
Battle command text section;0;69;Erhöht den Monsterlevel
Battle command text section;0;70;Solo
Battle command text section;0;71;{x0e3a} wird einmal angewendet
Battle command text section;0;72;Doppel
Battle command text section;0;73;{x0e3a} wird zweimal angewendet
Battle command text section;0;74;Tripel
Battle command text section;0;75;{x0e3a} wird dreimal vangewendet
Battle command text section;0;76;Mogry-Kid
Battle command text section;0;77;Beschwört Mogry-Kid herbei
Magic text section;1;0;
Magic text section;1;1;
Magic text section;1;2;Feuer
Magic text section;1;3;{x0e35}Hitze-{x0e3a}
Magic text section;1;4;Feura
Magic text section;1;5;{x0e35}Hitze-{x0e3a}
Magic text section;1;6;Feuga
Magic text section;1;7;{x0e35}Hitze-{x0e3a}
Magic text section;1;8;Eis
Magic text section;1;9;{x0e35}Kälte-{x0e3a}
Magic text section;1;10;Eisra
Magic text section;1;11;{x0e35}Kälte-{x0e3a}
Magic text section;1;12;Eisga
Magic text section;1;13;{x0e35}Kälte-{x0e3a}
Magic text section;1;14;Blitz
Magic text section;1;15;{x0e35}Donner-{x0e3a}
Magic text section;1;16;Blitzra
Magic text section;1;17;{x0e35}Donner-{x0e3a}
Magic text section;1;18;Blitzga
Magic text section;1;19;{x0e35}Donner-{x0e3a}
Magic text section;1;20;Aqua
Magic text section;1;21;{x0e35}Wasser-{x0e3a}
Magic text section;1;22;Aero
Magic text section;1;23;{x0e35}Wind-{x0e3a}
Magic text section;1;24;Bio
Magic text section;1;25;{x0e35}Gift-{x0e3a}
Magic text section;1;26;Gravit
Magic text section;1;27;HP eines Gegners wird um 1/4 verringert
Magic text section;1;28;Holy
Magic text section;1;29;{x0e35}Holy-{x0e3a}
Magic text section;1;30;Flare
Magic text section;1;31;{x0e35}Hitze-{x0e3a}
Magic text section;1;32;Meteor
Magic text section;1;33;Zufalls-Schaden auf alle Gegner
Magic text section;1;34;Beben
Magic text section;1;35;Schaden auf alle Gegner mit Erd-{x0e3a}
Magic text section;1;36;Tornado
Magic text section;1;37;Schaden auf alle Gegner mit Wind-{x0e3a}
Magic text section;1;38;Ultima
Magic text section;1;39;Schaden auf alle Gegner mit Neutral-{x0e3a}
Magic text section;1;40;Apocalypse
