Section data name;Section Widget id;Text Sub id;Text
Battle command text section;0;0;
Battle command text section;0;1;
Battle command text section;0;2;Attack
Battle command text section;0;3;Attack{ w}ith equipped{ w}eap{on}
Battle command text section;0;4;Magic
Battle command text section;0;5;Cast m{ag}ic
Battle command text section;0;6;GF
Battle command text section;0;7;Summ{on}{s }Gu{ar}dian Force
Battle command text section;0;8;Item
Battle command text section;0;9;Us{e }item
Battle command text section;0;10;Renzokuken
Battle command text section;0;11;Attack{ w}ith Renzokuken
Battle command text section;0;12;Draw
Battle command text section;0;13;Draw m{ag}ic
Battle command text section;0;14;Devour
Battle command text section;0;15;Devour m{on}sters
Battle command text section;0;16;nomsg
Battle command text section;0;17;
Battle command text section;0;18;Cast
Battle command text section;0;19;Cast drawn m{ag}ic
Battle command text section;0;20;Stock
Battle command text section;0;21;S{to}ck drawn m{ag}ic
Battle command text section;0;22;Duel
Battle command text section;0;23;Combat styl{e }attack
Battle command text section;0;24;Mug
Battle command text section;0;25;Attack and stea{l }items
Battle command text section;0;26;nomsg
Battle command text section;0;27;
Battle command text section;0;28;Shot
Battle command text section;0;29;Us{e }amm{o }{to} attack
Battle command text section;0;30;Blue Magic
Battle command text section;0;31;Us{e }m{on}ster'{s }sk{il}l
Battle command text section;0;32;Slot
Battle command text section;0;33;Attack{ w}ith m{ag}ic chosen at{ r}andom
Battle command text section;0;34;Fire Cross
Battle command text section;0;35;Attack{ w}ith sword
Battle command text section;0;36;Sorcery
Battle command text section;0;37;Attack{ w}ith m{ag}ic
Battle command text section;0;38;Combine
Battle command text section;0;39;Ca{ll} someth{in}g
Battle command text section;0;40;Limit
Battle command text section;0;41;Attack{ w}ith Limit B{re}aks
Battle command text section;0;42;Limit
Battle command text section;0;43;Attack{ w}ith Limit B{re}aks
Battle command text section;0;44;Limit
Battle command text section;0;45;Attack{ w}ith Limit B{re}aks
Battle command text section;0;46;Defend
Battle command text section;0;47;Reduc{e }dam{ag}{e }u{nt}{il} {ne}xt command
Battle command text section;0;48;Mad Rush
Battle command text section;0;49;Us{e }Haste, Berserk, Protect {on} a{ll}
Battle command text section;0;50;Treatment
Battle command text section;0;51;Remov{e }abnorma{l }status
Battle command text section;0;52;Recover
Battle command text section;0;53;Res{to}{re} {HP}
Battle command text section;0;54;Revive
Battle command text section;0;55;Remov{e }KO
Battle command text section;0;56;Darkside
Battle command text section;0;57;Expend {HP} {to} attack
Battle command text section;0;58;Card
Battle command text section;0;59;Turn m{on}ster{s }{in}{to} c{ar}ds
Battle command text section;0;60;Doom
Battle command text section;0;61;Us{e }Doom {on} {on}{e }e{ne}my
Battle command text section;0;62;Kamikaze
Battle command text section;0;63;Dam{ag}{e }{on}{e }e{ne}my b{ef}o{re} gett{in}g KO'd
Battle command text section;0;64;Absorb
Battle command text section;0;65;Absorb {HP}
Battle command text section;0;66;LV Down
Battle command text section;0;67;Lower m{on}ster level
Battle command text section;0;68;LV Up
Battle command text section;0;69;Rais{e }m{on}ster level
Battle command text section;0;70;Single
Battle command text section;0;71;Choos{e }{on}ce
Battle command text section;0;72;Double
Battle command text section;0;73;Choos{e }t{wi}ce
Battle command text section;0;74;Triple
Battle command text section;0;75;Choos{e }3 times
Battle command text section;0;76;MiniMog
Battle command text section;0;77;Ca{ll} M{in}iMog
Magic text section;1;0;
Magic text section;1;1;
Magic text section;1;2;Fire
Magic text section;1;3;Fi{re} m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;4;Fira
Magic text section;1;5;Fi{re} m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;6;Firaga
Magic text section;1;7;Fi{re} m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;8;Blizzard
Magic text section;1;9;Ic{e }m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;10;Blizzara
Magic text section;1;11;Ic{e }m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;12;Blizzaga
Magic text section;1;13;Ic{e }m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;14;Thunder
Magic text section;1;15;Thunder m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;16;Thundara
Magic text section;1;17;Thunder m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;18;Thundaga
Magic text section;1;19;Thunder m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;20;Water
Magic text section;1;21;Water m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;22;Aero
Magic text section;1;23;W{in}d m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;24;Bio
Magic text section;1;25;Pois{on} dam{ag}{e }+ statu{s }change/{on}{e }e{ne}my
Magic text section;1;26;Demi
Magic text section;1;27;M{ag}ic {to}{ r}educ{e }{on}{e }e{ne}my'{s }{HP} by 1/4
Magic text section;1;28;Holy
Magic text section;1;29;Holy m{ag}ic dam{ag}e/{on}{e }e{ne}my
Magic text section;1;30;Flare
