Section data name;Section Widget id;Text Sub id;Text
Battle command text section;0;0;
Battle command text section;0;1;
Battle command text section;0;2;Atacar
Battle command text section;0;3;Ataca con un arma.
Battle command text section;0;4;Magia
Battle command text section;0;5;Aplica una magia.
Battle command text section;0;6;G. F.
Battle command text section;0;7;Invoca a un Guardián{x0e49}{x0e53}Fuerza.
Battle command text section;0;8;Objeto
Battle command text section;0;9;Utiliza un objeto.
Battle command text section;0;10;Samurai
Battle command text section;0;11;Ataca con estocadas múltiples.
Battle command text section;0;12;Extraer
Battle command text section;0;13;Extrae magia.
Battle command text section;0;14;Engullir
Battle command text section;0;15;Engulle a un {x0e38}.
Battle command text section;0;16;
Battle command text section;0;17;
Battle command text section;0;18;Aplicar
Battle command text section;0;19;Aplica {x0e53}magia extraída.
Battle command text section;0;20;Guardar
Battle command text section;0;21;Guarda {x0e53}magia extraída.
Battle command text section;0;22;Kiai
Battle command text section;0;23;Pelea con artes marciales.
Battle command text section;0;24;Arrebatar
Battle command text section;0;25;Aprovecha {x0e52}ataque para arrebatar objetos.
Battle command text section;0;26;
Battle command text section;0;27;
Battle command text section;0;28;Duelo
Battle command text section;0;29;Ataca al {x0e38} con municiones disponibles.
Battle command text section;0;30;Magia azul
Battle command text section;0;31;Ataca con técnicas aprendidas{x0e49}monstruos.
Battle command text section;0;32;Ruleta
Battle command text section;0;33;Aplica una magia seleccionada al azar.
Battle command text section;0;34;Sed de venganza
Battle command text section;0;35;Ataca con {x0e53}espada.
Battle command text section;0;36;Gran magia
Battle command text section;0;37;Efectúa un ataque mágico.
Battle command text section;0;38;Llamada
Battle command text section;0;39;Ape{x0e53}a una fuerza amiga.
Battle command text section;0;40;Especial
Battle command text section;0;41;{x0e58} 
Battle command text section;0;42;Especial
Battle command text section;0;43;{x0e58} 
Battle command text section;0;44;Especial
Battle command text section;0;45;{x0e58} 
Battle command text section;0;46;Defensa
Battle command text section;0;47;Reduce el daño hasta actuar otra vez.
Battle command text section;0;48;Acometida
Battle command text section;0;49;Pone al grupo en EST Prisa, Locura y Coraza.
Battle command text section;0;50;Sanar
Battle command text section;0;51;Sana los estados alterados.
Battle command text section;0;52;Recuperar
Battle command text section;0;53;Restablece {x0e53}vitalidad.
Battle command text section;0;54;Resucitar
Battle command text section;0;55;Reanima a un compañero K.O..
Battle command text section;0;56;Sacrificio
Battle command text section;0;57;Ataca a costa{x0e49}{x0e53}propia vitalidad.
Battle command text section;0;58;Carta
Battle command text section;0;59;Transforma a un monstruo en carta.
Battle command text section;0;60;Condena
Battle command text section;0;61;Condena a muerte a un {x0e38}.
Battle command text section;0;62;Kamikaze
Battle command text section;0;63;Daña al {x0e38}, pero {x0e52}guerrero es eliminado.
Battle command text section;0;64;Absorber
Battle command text section;0;65;Absorbe {x0e53}vitalidad d{x0e52}{x0e38}.
Battle command text section;0;66;Nivel↓
Battle command text section;0;67;Disminuye {x0e52}niv{x0e52}de un monstruo.
Battle command text section;0;68;Nivel↑
Battle command text section;0;69;Aumenta {x0e52}niv{x0e52}de un monstruo.
Battle command text section;0;70;Simple
Battle command text section;0;71;{x0e59}una vez.
Battle command text section;0;72;Doble
Battle command text section;0;73;{x0e59}dos veces.
Battle command text section;0;74;Triple
Battle command text section;0;75;{x0e59}tres veces.
Battle command text section;0;76;Mogurito
Battle command text section;0;77;Llama a un mogurito.
Magic text section;1;0;
Magic text section;1;1;
Magic text section;1;2;Piro
Magic text section;1;3;{x0e35}Fuego a un {x0e38}.
Magic text section;1;4;Piro+
Magic text section;1;5;{x0e35}Fuego a un {x0e38}.
Magic text section;1;6;Piro++
Magic text section;1;7;{x0e35}Fuego a un {x0e38}.
Magic text section;1;8;Hielo
Magic text section;1;9;{x0e35}Frío a un {x0e38}.
Magic text section;1;10;Hielo+
Magic text section;1;11;{x0e35}Frío a un {x0e38}.
Magic text section;1;12;Hielo++
Magic text section;1;13;{x0e35}Frío a un {x0e38}.
Magic text section;1;14;Electro
Magic text section;1;15;{x0e35}Rayo a un {x0e38}.
Magic text section;1;16;Electro+
Magic text section;1;17;{x0e35}Rayo a un {x0e38}.
Magic text section;1;18;Electro++
Magic text section;1;19;{x0e35}Rayo a un {x0e38}.
Magic text section;1;20;Aqua
Magic text section;1;21;{x0e35}Agua a un {x0e38}.
Magic text section;1;22;Aero
Magic text section;1;23;{x0e35}Aire a un {x0e38}.
Magic text section;1;24;Bio
Magic text section;1;25;Envenena y daña con ELM Veneno a un rival.
Magic text section;1;26;Gravedad
Magic text section;1;27;Reduce {x0e53}vitalidad{x0e49}un {x0e38} a 3/4.
Magic text section;1;28;Sanctus
Magic text section;1;29;{x0e35}Sacro a un {x0e38}.
Magic text section;1;30;Fulgor
Magic text section;1;31;{x0e4a}daño no {x0e37} a un {x0e38}.
Magic text section;1;32;Meteo
Magic text section;1;33;{x0e4a}daño no {x0e37} al azar.
Magic text section;1;34;Seísmo
Magic text section;1;35;{x0e4a}daño ELM Tierra a todos los {x0e38}s.
Magic text section;1;36;Tornado
