Section data name;Section Widget id;Text Sub id;Text
Battle command text section;0;0;
Battle command text section;0;1;
Battle command text section;0;2;Attacco
Battle command text section;0;3;Attacca con le armi a disposizione
Battle command text section;0;4;Magie
Battle command text section;0;5;Permette di richiamare magie
Battle command text section;0;6;G.F.
Battle command text section;0;7;Invoca i Guardian Force
Battle command text section;0;8;Oggetti
Battle command text section;0;9;Permette di usare oggetti
Battle command text section;0;10;Renzokuken
Battle command text section;0;11;Permette l'attacco Renzokuken
Battle command text section;0;12;Assimila
Battle command text section;0;13;Cattura le magie degli avversari
Battle command text section;0;14;Divora
Battle command text section;0;15;Permette di divorare i mostri
Battle command text section;0;16;
Battle command text section;0;17;
Battle command text section;0;18;Usa subito
Battle command text section;0;19;Scaglia la magia catturata contro il nemico
Battle command text section;0;20;Accumula
Battle command text section;0;21;Conserva la magia catturata
Battle command text section;0;22;Duello
Battle command text section;0;23;Combattimento corpo a corpo con il nemico
Battle command text section;0;24;Ruba
Battle command text section;0;25;Permette di ottenere oggetti dopo l'attacco
Battle command text section;0;26;
Battle command text section;0;27;
Battle command text section;0;28;Shot
Battle command text section;0;29;Attacco con oggetti tipo proiettili/munizioni
Battle command text section;0;30;Magia blu
Battle command text section;0;31;Utilizzo delle tecniche dei mostri
Battle command text section;0;32;Slot
Battle command text section;0;33;Attacco con magie scelte a caso
Battle command text section;0;34;Shimatsuken
Battle command text section;0;35;Attacco con la spada
Battle command text section;0;36;Sortilegio
Battle command text section;0;37;Attacco magico
Battle command text section;0;38;Combinazione
Battle command text section;0;39;Chiama......qualcuno
Battle command text section;0;40;Limite
Battle command text section;0;41;Attacco con Tecniche speciali
Battle command text section;0;42;Limite
Battle command text section;0;43;Attacco con Tecniche speciali
Battle command text section;0;44;Limite
Battle command text section;0;45;Attacco con Tecniche speciali
Battle command text section;0;46;Protezione
Battle command text section;0;47;Limita % danni fino a nuovo comando
Battle command text section;0;48;Assalto
Battle command text section;0;49;Haste, Berserk, Protect per tutta la squadra
Battle command text section;0;50;Vitamina
Battle command text section;0;51;Cura alterazione di status
Battle command text section;0;52;Recupero
Battle command text section;0;53;Ripristina HP
Battle command text section;0;54;Risveglio
Battle command text section;0;55;Riattiva assetto di guerra
Battle command text section;0;56;Sacrificio
Battle command text section;0;57;Permette attacco consumando il proprio HP
Battle command text section;0;58;Carta
Battle command text section;0;59;Trasforma i mostri in carte
Battle command text section;0;60;Sentenza
Battle command text section;0;61;Causa status Sentenza
Battle command text section;0;62;Kamikaze
Battle command text section;0;63;Danneggia tutti i nemici, ma esce di battaglia
Battle command text section;0;64;Assorbi
Battle command text section;0;65;Assorbe HP
Battle command text section;0;66;LV down
Battle command text section;0;67;Abbassa il livello dei mostri
Battle command text section;0;68;LV up
Battle command text section;0;69;Aumenta il livello dei mostri
Battle command text section;0;70;Singolo
Battle command text section;0;71;Permette di scegliere una volta
Battle command text section;0;72;Double
Battle command text section;0;73;Permette di scegliere due volte
Battle command text section;0;74;Triple
Battle command text section;0;75;Permette di scegliere tre volte
Battle command text section;0;76;Komoguri
Battle command text section;0;77;Chiama il Komoguri
Magic text section;1;0;
Magic text section;1;1;
Magic text section;1;2;Fire
Magic text section;1;3;{x0e35} Fuoco
Magic text section;1;4;Fira
Magic text section;1;5;{x0e35} Fuoco
Magic text section;1;6;Firaga
Magic text section;1;7;{x0e35} Fuoco
Magic text section;1;8;Blizzard
Magic text section;1;9;{x0e35} Gelo
Magic text section;1;10;Blizzara
Magic text section;1;11;{x0e35} Gelo
Magic text section;1;12;Blizzaga
Magic text section;1;13;{x0e35} Gelo
Magic text section;1;14;Thunder
Magic text section;1;15;{x0e35} Tuono
Magic text section;1;16;Thundara
Magic text section;1;17;{x0e35} Tuono
Magic text section;1;18;Thundaga
Magic text section;1;19;{x0e35} Tuono
Magic text section;1;20;Idro
Magic text section;1;21;{x0e35} Acqua
Magic text section;1;22;Aero
Magic text section;1;23;{x0e35} Vento 
Magic text section;1;24;Bio
Magic text section;1;25;Attacco magico elem. Veleno, status Veleno
Magic text section;1;26;Antima
Magic text section;1;27;Magia che toglie 1/4 di HP al nemico
Magic text section;1;28;Sancta
Magic text section;1;29;{x0e35} Sacro
Magic text section;1;30;Flare
Magic text section;1;31;Attacco magico singolo {x0e37}
Magic text section;1;32;Meteor
Magic text section;1;33;Attacco magico globale non elementale casuale
Magic text section;1;34;Quake
Magic text section;1;35;Attacco magico globale, {x0e38} Terra
Magic text section;1;36;Tornado
Magic text section;1;37;Attacco magico globale, {x0e38} Vento
Magic text section;1;38;Ultima
Magic text section;1;39;Attacco magico globale {x0e37}
Magic text section;1;40;Apocalypse
Magic text section;1;41;Attacco magico globale {x0e37}
Magic text section;1;42;Energia
Magic text section;1;43;Recupera HP
Magic text section;1;44;Energira
Magic text section;1;45;Recupera HP
Magic text section;1;46;Energiga
Magic text section;1;47;Recupera HP
Magic text section;1;48;Reiz
Magic text section;1;49;Riattiva assetto di guerra
Magic text section;1;50;Areiz
Magic text section;1;51;Riattiva assetto di guerra e ripristina HP
Magic text section;1;52;Rigene
