Section data name|Section Widget id|Text Sub id|Text
tkmnmes1.bin - subsection n°0|0|0|Koppeln
tkmnmes1.bin - subsection n°0|0|1|Kopplungs-Menü
tkmnmes1.bin - subsection n°0|0|2|Item
tkmnmes1.bin - subsection n°0|0|3|Item-Menü
tkmnmes1.bin - subsection n°0|0|4|Zauber
tkmnmes1.bin - subsection n°0|0|5|Zauber-Menü
tkmnmes1.bin - subsection n°0|0|6|G.F.
tkmnmes1.bin - subsection n°0|0|7|Guardian Force-Menü
tkmnmes1.bin - subsection n°0|0|8|Status
tkmnmes1.bin - subsection n°0|0|9|Status-Menü
tkmnmes1.bin - subsection n°0|0|10|Karten
tkmnmes1.bin - subsection n°0|0|11|Kartensammlung anschauen
tkmnmes1.bin - subsection n°0|0|12|Ordnen
tkmnmes1.bin - subsection n°0|0|13|Truppenaufstellung
tkmnmes1.bin - subsection n°0|0|14|Speichern
tkmnmes1.bin - subsection n°0|0|15|Speicher-Menü
tkmnmes1.bin - subsection n°0|0|16|Konfig
tkmnmes1.bin - subsection n°0|0|17|Konfigurations-Menü
tkmnmes1.bin - subsection n°0|0|18|Aufstellung
tkmnmes1.bin - subsection n°0|0|19|Frühere Aufstellung
tkmnmes1.bin - subsection n°0|0|20|SPIEL
tkmnmes1.bin - subsection n°0|0|21|G
tkmnmes1.bin - subsection n°0|0|22|:
tkmnmes1.bin - subsection n°0|0|23|Derzeitige EXP
tkmnmes1.bin - subsection n°0|0|24|Bis Level-Up
tkmnmes1.bin - subsection n°0|0|25|/
tkmnmes1.bin - subsection n°0|0|26|HP
tkmnmes1.bin - subsection n°0|0|27|LV
tkmnmes1.bin - subsection n°0|0|28|-
tkmnmes1.bin - subsection n°0|0|29|%
tkmnmes1.bin - subsection n°0|0|30|Hitze
tkmnmes1.bin - subsection n°0|0|31|Kälte
tkmnmes1.bin - subsection n°0|0|32|Donner
tkmnmes1.bin - subsection n°0|0|33|Erde
tkmnmes1.bin - subsection n°0|0|34|Gift
tkmnmes1.bin - subsection n°0|0|35|Wind
tkmnmes1.bin - subsection n°0|0|36|Wasser
tkmnmes1.bin - subsection n°0|0|37|Holy
tkmnmes1.bin - subsection n°0|0|38|Tod
tkmnmes1.bin - subsection n°0|0|39|Gift
tkmnmes1.bin - subsection n°0|0|40|Stein
tkmnmes1.bin - subsection n°0|0|41|Blind
tkmnmes1.bin - subsection n°0|0|42|Schweigen
tkmnmes1.bin - subsection n°0|0|43|Tobsucht
tkmnmes1.bin - subsection n°0|0|44|Zombie
tkmnmes1.bin - subsection n°0|0|45|Schlaf
tkmnmes1.bin - subsection n°0|0|46|Gemach
tkmnmes1.bin - subsection n°0|0|47|Stop
tkmnmes1.bin - subsection n°0|0|48|Fluch
tkmnmes1.bin - subsection n°0|0|49|Konfus
tkmnmes1.bin - subsection n°0|0|50|Saugen
tkmnmes1.bin - subsection n°0|0|51|Keine Auswahl
tkmnmes1.bin - subsection n°0|0|52|In Arbeit
tkmnmes1.bin - subsection n°0|0|53|Shop
tkmnmes1.bin - subsection n°0|0|54|Laden
tkmnmes1.bin - subsection n°0|0|55|Notunterkunft
tkmnmes1.bin - subsection n°0|0|56|Eine provisorische Unterkunft
tkmnmes1.bin - subsection n°0|0|57|Ja
tkmnmes1.bin - subsection n°0|0|58|Nein
tkmnmes1.bin - subsection n°0|0|59|Junk-Shop
tkmnmes1.bin - subsection n°0|0|60|(
tkmnmes1.bin - subsection n°0|0|61|)
tkmnmes1.bin - subsection n°0|0|62|Ability
tkmnmes1.bin - subsection n°0|0|63|Wendet G.F.-Abilitys an
tkmnmes1.bin - subsection n°0|0|64|Truppe
tkmnmes1.bin - subsection n°0|0|65|Truppenmitglieder
tkmnmes1.bin - subsection n°0|0|66|Nie einen Shop besucht!
tkmnmes1.bin - subsection n°0|0|67|Tutorial
tkmnmes1.bin - subsection n°0|0|68|Hilfstexte
tkmnmes1.bin - subsection n°0|0|69|SEED-LV
tkmnmes1.bin - subsection n°0|0|70|Der SEED-Level
tkmnmes1.bin - subsection n°0|0|71|A
tkmnmes1.bin - subsection n°0|0|72|As
tkmnmes1.bin - subsection n°0|0|73|Die HP ändert sich\nOk?
tkmnmes1.bin - subsection n°0|0|74|---
tkmnmes1.bin - subsection n°0|0|75|Hilfe
tkmnmes1.bin - subsection n°0|0|76|F.F.{xc6}{xc7}-Infos
tkmnmes1.bin - subsection n°0|0|77|TEST
tkmnmes1.bin - subsection n°0|0|78|Der SEED-Level steigt!
tkmnmes1.bin - subsection n°0|0|79|Nachtest
tkmnmes1.bin - subsection n°0|0|80|Bisherige Tests wiederholen
tkmnmes1.bin - subsection n°0|0|81|Nichts passiert
tkmnmes1.bin - subsection n°0|0|82|ZEIT
tkmnmes1.bin - subsection n°0|0|83|Spielzeitanzeige
