Section data name;Section Widget id;Text Sub id;Text
tkmnmes1.bin - subsection n°0;0;0;Junction
tkmnmes1.bin - subsection n°0;0;1;Junction Menu
tkmnmes1.bin - subsection n°0;0;2;Item
tkmnmes1.bin - subsection n°0;0;3;Item Menu
tkmnmes1.bin - subsection n°0;0;4;Magic
tkmnmes1.bin - subsection n°0;0;5;Magic Menu
tkmnmes1.bin - subsection n°0;0;6;GF
tkmnmes1.bin - subsection n°0;0;7;Guardian Force Menu
tkmnmes1.bin - subsection n°0;0;8;Status
tkmnmes1.bin - subsection n°0;0;9;Status Menu
tkmnmes1.bin - subsection n°0;0;10;Card
tkmnmes1.bin - subsection n°0;0;11;Look at cards
tkmnmes1.bin - subsection n°0;0;12;Rearrange
tkmnmes1.bin - subsection n°0;0;13;Rearrange party order
tkmnmes1.bin - subsection n°0;0;14;Save
tkmnmes1.bin - subsection n°0;0;15;Save Menu
tkmnmes1.bin - subsection n°0;0;16;Config
tkmnmes1.bin - subsection n°0;0;17;Configuration Menu
tkmnmes1.bin - subsection n°0;0;18;????
tkmnmes1.bin - subsection n°0;0;19;Past party members
tkmnmes1.bin - subsection n°0;0;20;PLAY
tkmnmes1.bin - subsection n°0;0;21;G
tkmnmes1.bin - subsection n°0;0;22;:
tkmnmes1.bin - subsection n°0;0;23;Current EXP
tkmnmes1.bin - subsection n°0;0;24;Next LEVEL
tkmnmes1.bin - subsection n°0;0;25;/
tkmnmes1.bin - subsection n°0;0;26;HP
tkmnmes1.bin - subsection n°0;0;27;LV
tkmnmes1.bin - subsection n°0;0;28;-
tkmnmes1.bin - subsection n°0;0;29;%
tkmnmes1.bin - subsection n°0;0;30;Fire
tkmnmes1.bin - subsection n°0;0;31;Ice
tkmnmes1.bin - subsection n°0;0;32;Thunder
tkmnmes1.bin - subsection n°0;0;33;Earth
tkmnmes1.bin - subsection n°0;0;34;Poison
tkmnmes1.bin - subsection n°0;0;35;Wind
tkmnmes1.bin - subsection n°0;0;36;Water
tkmnmes1.bin - subsection n°0;0;37;Holy
tkmnmes1.bin - subsection n°0;0;38;Death
tkmnmes1.bin - subsection n°0;0;39;Poison
tkmnmes1.bin - subsection n°0;0;40;Petrify
tkmnmes1.bin - subsection n°0;0;41;Darkness
tkmnmes1.bin - subsection n°0;0;42;Silence
tkmnmes1.bin - subsection n°0;0;43;Berserk
tkmnmes1.bin - subsection n°0;0;44;Zombie
tkmnmes1.bin - subsection n°0;0;45;Sleep
tkmnmes1.bin - subsection n°0;0;46;Slow
tkmnmes1.bin - subsection n°0;0;47;Stop
tkmnmes1.bin - subsection n°0;0;48;Curse
tkmnmes1.bin - subsection n°0;0;49;Confuse
tkmnmes1.bin - subsection n°0;0;50;Absorb
tkmnmes1.bin - subsection n°0;0;51;Can't select
tkmnmes1.bin - subsection n°0;0;52;Making
tkmnmes1.bin - subsection n°0;0;53;Shop
tkmnmes1.bin - subsection n°0;0;54;Load
tkmnmes1.bin - subsection n°0;0;55;Motel
tkmnmes1.bin - subsection n°0;0;56;Motel
tkmnmes1.bin - subsection n°0;0;57;Yes
tkmnmes1.bin - subsection n°0;0;58;No
tkmnmes1.bin - subsection n°0;0;59;Junk Shop
tkmnmes1.bin - subsection n°0;0;60;(
tkmnmes1.bin - subsection n°0;0;61;)
tkmnmes1.bin - subsection n°0;0;62;Ability
tkmnmes1.bin - subsection n°0;0;63;Use GF ability
tkmnmes1.bin - subsection n°0;0;64;Switch
tkmnmes1.bin - subsection n°0;0;65;Select party members
tkmnmes1.bin - subsection n°0;0;66;Haven't been to a shop!
tkmnmes1.bin - subsection n°0;0;67;Tutorial
tkmnmes1.bin - subsection n°0;0;68;Explanation
tkmnmes1.bin - subsection n°0;0;69;S.LV
tkmnmes1.bin - subsection n°0;0;70;SeeD rank
tkmnmes1.bin - subsection n°0;0;71;A
tkmnmes1.bin - subsection n°0;0;72;Ace
tkmnmes1.bin - subsection n°0;0;73;Changes current HP\nOK?
tkmnmes1.bin - subsection n°0;0;74;????
tkmnmes1.bin - subsection n°0;0;75;Information
tkmnmes1.bin - subsection n°0;0;76;FF{xc6}{xc7} Info Corner
tkmnmes1.bin - subsection n°0;0;77;TEST
tkmnmes1.bin - subsection n°0;0;78;Take Written Test to raise SeeD rank
tkmnmes1.bin - subsection n°0;0;79;Review
tkmnmes1.bin - subsection n°0;0;80;Review SeeD Written Test
tkmnmes1.bin - subsection n°0;0;81;Nothing happened
tkmnmes1.bin - subsection n°0;0;82;TIME
tkmnmes1.bin - subsection n°0;0;83;TIMER
tkmnmes2.bin - subsection n°2;1;0;Vibration function
tkmnmes2.bin - subsection n°2;1;1;Set vibration function
tkmnmes2.bin - subsection n°2;1;2;ON
tkmnmes2.bin - subsection n°2;1;3;OFF
tkmnmes2.bin - subsection n°2;1;4;Cannot use vibration function
tkmnmes2.bin - subsection n°2;1;5;Vibration function ON
tkmnmes2.bin - subsection n°2;1;6;Vibration function OFF
tkmnmes2.bin - subsection n°2;1;7;Battle speed
tkmnmes2.bin - subsection n°2;1;8;Set battle speed
tkmnmes2.bin - subsection n°2;1;9;Battle message
tkmnmes2.bin - subsection n°2;1;10;Set battle message speed
tkmnmes2.bin - subsection n°2;1;11;Field message
tkmnmes2.bin - subsection n°2;1;12;Set field message speed
tkmnmes2.bin - subsection n°2;1;13;ANALOG input L/R invert
tkmnmes2.bin - subsection n°2;1;14;ANALOG input
tkmnmes2.bin - subsection n°2;1;15;Set ANALOG stick response
tkmnmes2.bin - subsection n°2;1;16;Camera Movement
tkmnmes2.bin - subsection n°2;1;17;Set battle camera movement
tkmnmes2.bin - subsection n°2;1;18;Move
tkmnmes2.bin - subsection n°2;1;19;Cannot move
tkmnmes2.bin - subsection n°2;1;20;ATB
tkmnmes2.bin - subsection n°2;1;21;Set ATB
tkmnmes2.bin - subsection n°2;1;22;Active
tkmnmes2.bin - subsection n°2;1;23;Wait
tkmnmes2.bin - subsection n°2;1;24;Cursor
tkmnmes2.bin - subsection n°2;1;25;Set cursor
tkmnmes2.bin - subsection n°2;1;26;Memory
tkmnmes2.bin - subsection n°2;1;27;Initial
tkmnmes2.bin - subsection n°2;1;28;Talk/Confirm
tkmnmes2.bin - subsection n°2;1;29;Walk/Cancel
tkmnmes2.bin - subsection n°2;1;30;Talk
tkmnmes2.bin - subsection n°2;1;31;Menu
tkmnmes2.bin - subsection n°2;1;32;N/A
tkmnmes2.bin - subsection n°2;1;33;N/A
tkmnmes2.bin - subsection n°2;1;34;N/A
tkmnmes2.bin - subsection n°2;1;35;N/A
tkmnmes2.bin - subsection n°2;1;36;Walk
tkmnmes2.bin - subsection n°2;1;37;N/A
tkmnmes2.bin - subsection n°2;1;38;Confirm
tkmnmes2.bin - subsection n°2;1;39;Cancel
tkmnmes2.bin - subsection n°2;1;40;View Status
tkmnmes2.bin - subsection n°2;1;41;Change Character
tkmnmes2.bin - subsection n°2;1;42;Change Select Window
tkmnmes2.bin - subsection n°2;1;43;Trigger
tkmnmes2.bin - subsection n°2;1;44;Escape (with {R2})
tkmnmes2.bin - subsection n°2;1;45;Escape (with {L2})
tkmnmes2.bin - subsection n°2;1;46;Move cursor
tkmnmes2.bin - subsection n°2;1;47;N/A
tkmnmes2.bin - subsection n°2;1;48;On,Off/Examine
tkmnmes2.bin - subsection n°2;1;49;Move BACK
tkmnmes2.bin - subsection n°2;1;50;Move FWD
tkmnmes2.bin - subsection n°2;1;51;Menu
tkmnmes2.bin - subsection n°2;1;52;Look left
tkmnmes2.bin - subsection n°2;1;53;Look right
tkmnmes2.bin - subsection n°2;1;54;N/A
tkmnmes2.bin - subsection n°2;1;55;Switch POV
tkmnmes2.bin - subsection n°2;1;56;Walk/Direction(Vehicle)
tkmnmes2.bin - subsection n°2;1;57;Vehicle FWD/BACK
tkmnmes2.bin - subsection n°2;1;58;Field Map Controls
tkmnmes2.bin - subsection n°2;1;59;Battle Controls
tkmnmes2.bin - subsection n°2;1;60;World Map Controls
tkmnmes2.bin - subsection n°2;1;61;Sound
tkmnmes2.bin - subsection n°2;1;62;Set sound
tkmnmes2.bin - subsection n°2;1;63;Mono
tkmnmes2.bin - subsection n°2;1;64;Stereo
tkmnmes2.bin - subsection n°2;1;65;Controller
tkmnmes2.bin - subsection n°2;1;66;Change controller setting
tkmnmes2.bin - subsection n°2;1;67;Normal
tkmnmes2.bin - subsection n°2;1;68;Customize
tkmnmes2.bin - subsection n°2;1;69;{START} to customize controller setting
tkmnmes2.bin - subsection n°2;1;70;Fast
tkmnmes2.bin - subsection n°2;1;71;Slow
tkmnmes2.bin - subsection n°2;1;72;Scan
tkmnmes2.bin - subsection n°2;1;73;Set close-up for Scan
tkmnmes2.bin - subsection n°2;1;74;Always
tkmnmes2.bin - subsection n°2;1;75;Once
tkmnmes2.bin - subsection n°2;1;76;{START} to end, {Select} to default
tkmnmes2.bin - subsection n°2;1;77;Button assignment
tkmnmes2.bin - subsection n°2;1;78;{Triangle} to switch L/R ANALOG controller
tkmnmes2.bin - subsection n°2;1;79;For ANALOG Controller
tkmnmes2.bin - subsection n°2;1;80;For DUAL SHOCK™
tkmnmes2.bin - subsection n°2;1;81;Left stick
tkmnmes2.bin - subsection n°2;1;82;Right stick
tkmnmes2.bin - subsection n°2;1;83;0%
tkmnmes2.bin - subsection n°2;1;84;100%
tkmnmes2.bin - subsection n°5;2;0;Save menu
tkmnmes2.bin - subsection n°5;2;1;GAME FOLDER
tkmnmes2.bin - subsection n°5;2;2;Slot 1
tkmnmes2.bin - subsection n°5;2;3;Slot 2
tkmnmes2.bin - subsection n°5;2;4;Choose block to save
tkmnmes2.bin - subsection n°5;2;5;Data exists.  Overwrite?
tkmnmes2.bin - subsection n°5;2;6;Yes
tkmnmes2.bin - subsection n°5;2;7;No
tkmnmes2.bin - subsection n°5;2;8;Loading data
tkmnmes2.bin - subsection n°5;2;9;Saving data
tkmnmes2.bin - subsection n°5;2;10;No MEMORY CARD
tkmnmes2.bin - subsection n°5;2;11;The MEMORY CARD in slot 1\nis not formatted.\nFormat the GAME FOLDER\nin slot 1?
tkmnmes2.bin - subsection n°5;2;12;The GAME FOLDER in slot 2\nis not formatted.\nFormat the GAME FOLDER\nin slot 2?
