Section data name;Section Widget id;Text Sub id;Text
tkmnmes1.bin - subsection n°0;0;0;Enlaces
tkmnmes1.bin - subsection n°0;0;1;Da acceso a la pantalla de enlaces.
tkmnmes1.bin - subsection n°0;0;2;Objetos
tkmnmes1.bin - subsection n°0;0;3;Da acceso a la pantalla de objetos.
tkmnmes1.bin - subsection n°0;0;4;Magia
tkmnmes1.bin - subsection n°0;0;5;Da acceso a la pantalla de magias.
tkmnmes1.bin - subsection n°0;0;6;G. F.
tkmnmes1.bin - subsection n°0;0;7;Da acceso a la pantalla de G. F.
tkmnmes1.bin - subsection n°0;0;8;Condición
tkmnmes1.bin - subsection n°0;0;9;Provee datos vitales del personaje.
tkmnmes1.bin - subsection n°0;0;10;Cartas
tkmnmes1.bin - subsection n°0;0;11;Comprueba las cartas en tu poder.
tkmnmes1.bin - subsection n°0;0;12;Organizar
tkmnmes1.bin - subsection n°0;0;13;Cambia el orden de los personajes.
tkmnmes1.bin - subsection n°0;0;14;Guardar
tkmnmes1.bin - subsection n°0;0;15;Permite guardar la partida.
tkmnmes1.bin - subsection n°0;0;16;Preferencias
tkmnmes1.bin - subsection n°0;0;17;Da acceso al menú de preferencias.
tkmnmes1.bin - subsection n°0;0;18;Pasado
tkmnmes1.bin - subsection n°0;0;19;Para cambiar el grupo del pasado.
tkmnmes1.bin - subsection n°0;0;20;Tiempo
tkmnmes1.bin - subsection n°0;0;21;G
tkmnmes1.bin - subsection n°0;0;22;:
tkmnmes1.bin - subsection n°0;0;23;Experiencia:
tkmnmes1.bin - subsection n°0;0;24;Para subir nivel:
tkmnmes1.bin - subsection n°0;0;25;/
tkmnmes1.bin - subsection n°0;0;26;VIT
tkmnmes1.bin - subsection n°0;0;27;Nv
tkmnmes1.bin - subsection n°0;0;28;-
tkmnmes1.bin - subsection n°0;0;29;%
tkmnmes1.bin - subsection n°0;0;30;Fuego
tkmnmes1.bin - subsection n°0;0;31;Frío
tkmnmes1.bin - subsection n°0;0;32;Rayo
tkmnmes1.bin - subsection n°0;0;33;Tierra
tkmnmes1.bin - subsection n°0;0;34;Veneno
tkmnmes1.bin - subsection n°0;0;35;Aire
tkmnmes1.bin - subsection n°0;0;36;Agua
tkmnmes1.bin - subsection n°0;0;37;Sacro
tkmnmes1.bin - subsection n°0;0;38;Muerte
tkmnmes1.bin - subsection n°0;0;39;Veneno
tkmnmes1.bin - subsection n°0;0;40;Piedra
tkmnmes1.bin - subsection n°0;0;41;Ceguera
tkmnmes1.bin - subsection n°0;0;42;Mudez
tkmnmes1.bin - subsection n°0;0;43;Locura
tkmnmes1.bin - subsection n°0;0;44;Zombi
tkmnmes1.bin - subsection n°0;0;45;Sueño
tkmnmes1.bin - subsection n°0;0;46;Freno
tkmnmes1.bin - subsection n°0;0;47;Paro
tkmnmes1.bin - subsection n°0;0;48;Maldición
tkmnmes1.bin - subsection n°0;0;49;Confusión
tkmnmes1.bin - subsection n°0;0;50;Absorción
tkmnmes1.bin - subsection n°0;0;51;Opción no disponible.
tkmnmes1.bin - subsection n°0;0;52;En fabricación
tkmnmes1.bin - subsection n°0;0;53;Tienda
tkmnmes1.bin - subsection n°0;0;54;Cargar
tkmnmes1.bin - subsection n°0;0;55;Posada
tkmnmes1.bin - subsection n°0;0;56;Un alojamiento temporal.
tkmnmes1.bin - subsection n°0;0;57;Sí
tkmnmes1.bin - subsection n°0;0;58;No
tkmnmes1.bin - subsection n°0;0;59;Armero
tkmnmes1.bin - subsection n°0;0;60;(
tkmnmes1.bin - subsection n°0;0;61;)
tkmnmes1.bin - subsection n°0;0;62;Habilidades
tkmnmes1.bin - subsection n°0;0;63;Para utilizar habilidades de los G. F.
tkmnmes1.bin - subsection n°0;0;64;Relevo
tkmnmes1.bin - subsection n°0;0;65;Para cambiar la formación del grupo.
tkmnmes1.bin - subsection n°0;0;66;{xc8}No has visitado ninguna tienda!
tkmnmes1.bin - subsection n°0;0;67;Guía
tkmnmes1.bin - subsection n°0;0;68;Da acceso a la guía.
tkmnmes1.bin - subsection n°0;0;69;Seed
tkmnmes1.bin - subsection n°0;0;70;Rango Seed
tkmnmes1.bin - subsection n°0;0;71;A
tkmnmes1.bin - subsection n°0;0;72;As
