Section data name;Section Widget id;Text Sub id;Text
tkmnmes1.bin - subsection n°0;0;0;Associer
tkmnmes1.bin - subsection n°0;0;1;Menu Associer
tkmnmes1.bin - subsection n°0;0;2;Objets
tkmnmes1.bin - subsection n°0;0;3;Menu Objets
tkmnmes1.bin - subsection n°0;0;4;Magie
tkmnmes1.bin - subsection n°0;0;5;Menu Magie
tkmnmes1.bin - subsection n°0;0;6;G-Force
tkmnmes1.bin - subsection n°0;0;7;Menu Guardian Force
tkmnmes1.bin - subsection n°0;0;8;Situation
tkmnmes1.bin - subsection n°0;0;9;Menu Situation
tkmnmes1.bin - subsection n°0;0;10;Cartes
tkmnmes1.bin - subsection n°0;0;11;Regarder les cartes
tkmnmes1.bin - subsection n°0;0;12;Classer
tkmnmes1.bin - subsection n°0;0;13;Changer les membres
tkmnmes1.bin - subsection n°0;0;14;Sauver
tkmnmes1.bin - subsection n°0;0;15;Menu Sauver
tkmnmes1.bin - subsection n°0;0;16;Config
tkmnmes1.bin - subsection n°0;0;17;Menu Configuration
tkmnmes1.bin - subsection n°0;0;18;Précédent
tkmnmes1.bin - subsection n°0;0;19;Anciens équipiers
tkmnmes1.bin - subsection n°0;0;20;Durée
tkmnmes1.bin - subsection n°0;0;21;G
tkmnmes1.bin - subsection n°0;0;22;:
tkmnmes1.bin - subsection n°0;0;23;EXP actuels
tkmnmes1.bin - subsection n°0;0;24;Niveau suivant
tkmnmes1.bin - subsection n°0;0;25;/
tkmnmes1.bin - subsection n°0;0;26;HP
tkmnmes1.bin - subsection n°0;0;27;NV
tkmnmes1.bin - subsection n°0;0;28;-
tkmnmes1.bin - subsection n°0;0;29;%
tkmnmes1.bin - subsection n°0;0;30;Feu
tkmnmes1.bin - subsection n°0;0;31;Neige
tkmnmes1.bin - subsection n°0;0;32;Tonnerre
tkmnmes1.bin - subsection n°0;0;33;Terre
tkmnmes1.bin - subsection n°0;0;34;Poison
tkmnmes1.bin - subsection n°0;0;35;Vent
tkmnmes1.bin - subsection n°0;0;36;Eau
tkmnmes1.bin - subsection n°0;0;37;Sacré
tkmnmes1.bin - subsection n°0;0;38;Mort
tkmnmes1.bin - subsection n°0;0;39;Poison
tkmnmes1.bin - subsection n°0;0;40;Fossile
tkmnmes1.bin - subsection n°0;0;41;Darkness
tkmnmes1.bin - subsection n°0;0;42;Aphasie
tkmnmes1.bin - subsection n°0;0;43;Furie
tkmnmes1.bin - subsection n°0;0;44;Zombie
tkmnmes1.bin - subsection n°0;0;45;Morphée
tkmnmes1.bin - subsection n°0;0;46;Somni
tkmnmes1.bin - subsection n°0;0;47;Stop
tkmnmes1.bin - subsection n°0;0;48;Fléau
tkmnmes1.bin - subsection n°0;0;49;Folie
tkmnmes1.bin - subsection n°0;0;50;Phagocyte
tkmnmes1.bin - subsection n°0;0;51;Choix impossible
tkmnmes1.bin - subsection n°0;0;52;Fabrication
tkmnmes1.bin - subsection n°0;0;53;Boutique
tkmnmes1.bin - subsection n°0;0;54;Charger
tkmnmes1.bin - subsection n°0;0;55;Auberge
tkmnmes1.bin - subsection n°0;0;56;Auberge
tkmnmes1.bin - subsection n°0;0;57;Oui
tkmnmes1.bin - subsection n°0;0;58;Non
tkmnmes1.bin - subsection n°0;0;59;Bazar
tkmnmes1.bin - subsection n°0;0;60;(
tkmnmes1.bin - subsection n°0;0;61;)
tkmnmes1.bin - subsection n°0;0;62;Capacité
tkmnmes1.bin - subsection n°0;0;63;Utiliser capacité G-Force
tkmnmes1.bin - subsection n°0;0;64;Remplacer
tkmnmes1.bin - subsection n°0;0;65;Choix des membres de l'équipe
tkmnmes1.bin - subsection n°0;0;66;Aucun achat
tkmnmes1.bin - subsection n°0;0;67;Tutorial
tkmnmes1.bin - subsection n°0;0;68;Explication
tkmnmes1.bin - subsection n°0;0;69;Rg.Seed
tkmnmes1.bin - subsection n°0;0;70;Rang Seed
tkmnmes1.bin - subsection n°0;0;71;A
tkmnmes1.bin - subsection n°0;0;72;As
tkmnmes1.bin - subsection n°0;0;73;Changer HP actuels\nOK?
tkmnmes1.bin - subsection n°0;0;74;-
tkmnmes1.bin - subsection n°0;0;75;Aide
tkmnmes1.bin - subsection n°0;0;76;Infos FF{xc6}{xc7}
tkmnmes1.bin - subsection n°0;0;77;Test
tkmnmes1.bin - subsection n°0;0;78;Passez un test pour changer Rg Seed
tkmnmes1.bin - subsection n°0;0;79;Révision
tkmnmes1.bin - subsection n°0;0;80;Voir les anciens examens Seed
tkmnmes1.bin - subsection n°0;0;81;Aucune réaction
tkmnmes1.bin - subsection n°0;0;82;Temps
tkmnmes1.bin - subsection n°0;0;83;Minuteur
tkmnmes2.bin - subsection n°2;1;0;Option Vibrations
tkmnmes2.bin - subsection n°2;1;1;Régler option Vibrations
tkmnmes2.bin - subsection n°2;1;2;ON
tkmnmes2.bin - subsection n°2;1;3;OFF
tkmnmes2.bin - subsection n°2;1;4;Option Vibrations indisponible
tkmnmes2.bin - subsection n°2;1;5;Option Vibrations ON
tkmnmes2.bin - subsection n°2;1;6;Option Vibrations OFF
tkmnmes2.bin - subsection n°2;1;7;Vitesse combat
tkmnmes2.bin - subsection n°2;1;8;Régler Vitesse combat
tkmnmes2.bin - subsection n°2;1;9;Message combat
tkmnmes2.bin - subsection n°2;1;10;Régler vitesse Message combat
tkmnmes2.bin - subsection n°2;1;11;Message excursion
tkmnmes2.bin - subsection n°2;1;12;Régler vitesse Message excursion
tkmnmes2.bin - subsection n°2;1;13;Entrée analog G/D inv.
tkmnmes2.bin - subsection n°2;1;14;Entrée Analogique
tkmnmes2.bin - subsection n°2;1;15;Régler joystick analogique
tkmnmes2.bin - subsection n°2;1;16;Déplacement caméra
tkmnmes2.bin - subsection n°2;1;17;Régler caméra combat 
tkmnmes2.bin - subsection n°2;1;18;Mobile
tkmnmes2.bin - subsection n°2;1;19;Fixe
tkmnmes2.bin - subsection n°2;1;20;Jauge ATB
tkmnmes2.bin - subsection n°2;1;21;Régler jauge ATB
tkmnmes2.bin - subsection n°2;1;22;Active
tkmnmes2.bin - subsection n°2;1;23;Attente
tkmnmes2.bin - subsection n°2;1;24;Pointeur
tkmnmes2.bin - subsection n°2;1;25;Régler pointeur
tkmnmes2.bin - subsection n°2;1;26;Mémoire
tkmnmes2.bin - subsection n°2;1;27;Initial
tkmnmes2.bin - subsection n°2;1;28;Parler/confirmer
tkmnmes2.bin - subsection n°2;1;29;Marcher/Annuler
tkmnmes2.bin - subsection n°2;1;30;Parler/Jeu de cartes
tkmnmes2.bin - subsection n°2;1;31;Menu
tkmnmes2.bin - subsection n°2;1;32;N.D
tkmnmes2.bin - subsection n°2;1;33;N.D
