Section data name;Section Widget id;Text Sub id;Text
tkmnmes1.bin - subsection n°0;0;0;Junction
tkmnmes1.bin - subsection n°0;0;1;Menu Junction
tkmnmes1.bin - subsection n°0;0;2;Oggetti
tkmnmes1.bin - subsection n°0;0;3;Menu oggetti
tkmnmes1.bin - subsection n°0;0;4;Magie
tkmnmes1.bin - subsection n°0;0;5;Menu magie
tkmnmes1.bin - subsection n°0;0;6;G.F.
tkmnmes1.bin - subsection n°0;0;7;Menu Guardian Force
tkmnmes1.bin - subsection n°0;0;8;Status
tkmnmes1.bin - subsection n°0;0;9;Menu status
tkmnmes1.bin - subsection n°0;0;10;Carte
tkmnmes1.bin - subsection n°0;0;11;Controllo delle carte
tkmnmes1.bin - subsection n°0;0;12;Ordina
tkmnmes1.bin - subsection n°0;0;13;Cambiamento della squadra
tkmnmes1.bin - subsection n°0;0;14;Salva
tkmnmes1.bin - subsection n°0;0;15;Menu di salvataggio del gioco
tkmnmes1.bin - subsection n°0;0;16;Configura
tkmnmes1.bin - subsection n°0;0;17;Menu di configurazione
tkmnmes1.bin - subsection n°0;0;18;Formazione
tkmnmes1.bin - subsection n°0;0;19;Organizzazione vecchia formazione
tkmnmes1.bin - subsection n°0;0;20;PLAY
tkmnmes1.bin - subsection n°0;0;21;G
tkmnmes1.bin - subsection n°0;0;22;:
tkmnmes1.bin - subsection n°0;0;23;EXP attuali
tkmnmes1.bin - subsection n°0;0;24;Per Level up
tkmnmes1.bin - subsection n°0;0;25;/
tkmnmes1.bin - subsection n°0;0;26;HP
tkmnmes1.bin - subsection n°0;0;27;LV
tkmnmes1.bin - subsection n°0;0;28;-
tkmnmes1.bin - subsection n°0;0;29;%
tkmnmes1.bin - subsection n°0;0;30;Fuoco
tkmnmes1.bin - subsection n°0;0;31;Gelo
tkmnmes1.bin - subsection n°0;0;32;Tuono
tkmnmes1.bin - subsection n°0;0;33;Terra
tkmnmes1.bin - subsection n°0;0;34;Veleno
tkmnmes1.bin - subsection n°0;0;35;Vento
tkmnmes1.bin - subsection n°0;0;36;Acqua
tkmnmes1.bin - subsection n°0;0;37;Sacro
tkmnmes1.bin - subsection n°0;0;38;Morte
tkmnmes1.bin - subsection n°0;0;39;Veleno
tkmnmes1.bin - subsection n°0;0;40;Pietra
tkmnmes1.bin - subsection n°0;0;41;Blind
tkmnmes1.bin - subsection n°0;0;42;Mutismo
tkmnmes1.bin - subsection n°0;0;43;Berserk
tkmnmes1.bin - subsection n°0;0;44;Zombie
tkmnmes1.bin - subsection n°0;0;45;Sonno
tkmnmes1.bin - subsection n°0;0;46;Lentezza
tkmnmes1.bin - subsection n°0;0;47;Arresto
tkmnmes1.bin - subsection n°0;0;48;Maledizione
tkmnmes1.bin - subsection n°0;0;49;Caos
tkmnmes1.bin - subsection n°0;0;50;Blind
tkmnmes1.bin - subsection n°0;0;51;Non selezionabile
tkmnmes1.bin - subsection n°0;0;52;In elaborazione
tkmnmes1.bin - subsection n°0;0;53;Negozio
