Section data name;Section Widget id;Text Sub id;Text
;0;0;Galbadia
;0;1;Esthar
;0;2;Balamb
;0;3;Dollet
;0;4;Timber
;0;5;Trabia
;0;6;Centra
;0;7;Fisherman's Horizon
;0;8;Garden east
;0;9;Prigione del deserto
;0;10;Garden di Trabia
;0;11;Base Lunasite
;0;12;Villaggio degli Shumi
;0;13;Deling city
;0;14;Garden di Balamb
;0;15;Accademia est
;0;16;Stazione di Dollet
;0;17;Stazione della prigione del deserto
;0;18;Lunagate
;0;19;Danneggia un nemico
;0;20;Danneggia tutti i nemici
;0;21;Attacco magico singolo, elemento
;0;22;G.F.: attacco 
;0;23;non elementale
;0;24;elemento
;0;25;Quistis impara la magia 
;0;26;Insegna abilità 
;0;27;Mensile di armi varie
;0;28;La rivista per il guerriero
;0;29;castello di Artemisia
;0;30;Garden
;0;31;Rivista per gli amanti degli animali
;0;32;Stesso effetto della magia 
;0;33;Abilita Junction a 
;0;34;Attiva il comando 
;0;35;Aumenta 
;0;36;Elabora magie 
;0;37;Aumenta il livello 
;0;38; di 
;0;39; del 
;0;40;Pianura
;0;41;Winhill
;0;42;Centro
;0;43;Lunaside
;0;44;Penisola
;0;45;montuosa
