Section data name;Section Widget id;Text Sub id;Text
GIM52A;0;0;GIM52A
Prinula;1;0;Prinula
Thrust Avis;2;0;Thrust Avis
Thrust Avis;2;1;{Irvine} “Ach ja, vergeßt nicht,”
Thrust Avis;2;2;“beim [Shot] die Munition auszuwählen.”
Thrust Avis;2;3;“Mit {R1} macht{xba}s PÄNG! PÄNG!
Thrust Avis;2;4;“Alles klar~?”
Heulechse;3;0;Heulechse
Belhel Melhel;4;0;Belhel Melhel
Belhel Melhel;4;1;Lacht immer noch
Belhel Melhel;4;2;Ist immer noch wütend
Belhel Melhel;4;3;Belhel Melhel lacht!
Belhel Melhel;4;4;Belhel Melhel ist wütend!
Belhel Melhel;4;5;Belhel Melhels Wut-Konter!
Belhel Melhel;4;6;Belhel Melhels Lach-Konter!
Guheys Eye;5;0;Guheys Eye
SAM08G;6;0;SAM08G
GIM47N;7;0;GIM47N
Mesmerize;8;0;Mesmerize
Mesmerize;8;1;Das Horn ist abgebrochen!
Buel;9;0;Buel
Sphinx;10;0;Sphinx
Andro;11;0;Andro
Gogue Seal;12;0;Gogue Seal
Heckenschlange;13;0;Heckenschlange
Heckenschlange;13;1;Cifer “Die meisten EXP kassiert der,”
Heckenschlange;13;2;“der den Gegner fertig macht.”
Heckenschlange;13;3;“Laßt mir also welche übrig!”
Gratt;14;0;Gratt
Cockatrice;15;0;Cockatrice
Stichraupe;16;0;Stichraupe
Purpurmaus;17;0;Purpurmaus
Purpurmaus;17;1;{Quistis} “{Squall}!”
Purpurmaus;17;2;“Mit {R1} löst du die Gun-Blade aus.”
Purpurmaus;17;3;“Drück, wenn du den Gegner triffst.”
Blitzer;18;0;Blitzer
Blitzer;18;1;Blitzer ist aufgeladen!
Blitzer;18;2;Lädt sich auf
Focarol;19;0;Focarol
Focarol;20;0;Focarol
Gesper;21;0;Gesper
Schattenkriecher;22;0;Schattenkriecher
Schmelzdrache;23;0;Schmelzdrache
Blood Soul;24;0;Blood Soul
Invictus;25;0;Invictus
Esansuci;26;0;Esansuci
Esansuci;26;1;Esansuci stolpert!
Esansuci;26;2;Esansuci steht auf!
Beißkäfer;27;0;Beißkäfer
Beißkäfer;27;1;{Quistis} “{Squall}!”
Beißkäfer;27;2;“Mit {R1} löst du die Gun-Blade aus.”
Beißkäfer;27;3;“Drück, wenn du den Gegner triffst.”
Beißkäfer;27;4;“Auch beim [Multi], {R1} nicht vergessen!”
Doppel-Hacker;28;0;Doppel-Hacker
Doppel-Hacker;28;1;Standard-Abwehr-Modus
Doppel-Hacker;28;2;Total-Abwehr-Modus
Doppel-Hacker;28;3;Zauber-Abwehr-Modus
Doppel-Hacker;28;4;Waffen-Abwehr-Modus
Tripel-Klinge;29;0;Tripel-Klinge
Tripel-Klinge;29;1;“Element-Angriffe, gegen die ich”
Tripel-Klinge;29;2;“immun bin, werden gekontert.”
Granatomb;30;0;Granatomb
Wendigo;31;0;Wendigo
Geira;32;0;Geira
Namtal-Utok;33;0;Namtal-Utok
Namtal-Utok;33;1;{Zell} “Wa-was zum Henker?!”
Namtal-Utok;33;2;{Squall} “Verdammtes Biest!”
Namtal-Utok;33;3;{Selphie} “Bähh, wie ekelhaft!”
Wild Hook;34;0;Wild Hook
Tripel-Visage;35;0;Tripel-Visage
Grande Arlo;36;0;Grande Arlo
Cocutos;37;0;Cocutos
Cocutos;37;1;“Greift mich an!”
Cocutos;37;2;“Ich mache euch alle fertig!”
Gomani;38;0;Gomani
Dromani;39;0;Dromani
Drachen-Isolde;40;0;Drachen-Isolde
Lebensverbieter;41;0;Lebensverbieter
Bomber;42;0;Bomber
Bomber;42;1;{Quistis} “Bomber besitzen Hitze-Elemente.”
Bomber;42;2;“Gegen Hitze-Monster helfen Kälte-Attacken.”
Bomber;42;3;“Taste die Monster mit Analyse ab.”
Abyss-Wurm;43;0;Abyss-Wurm
Küßchen;44;0;Küßchen
Adaman Taimai;45;0;Adaman Taimai
Chimära;46;0;Chimära
Morbol;47;0;Morbol
Stahlgigant;48;0;Stahlgigant
Behemoth;49;0;Behemoth
Archeodinos;50;0;Archeodinos
Archeodinos;50;1;{Quistis} “Ein Archeodinos!”
Archeodinos;50;2;“{Squall}, paß lieber auf!”
Archeodinos;50;3;“Lauf weg, wenn der Gegner zu stark ist.”
Rubrum-Drache;51;0;Rubrum-Drache
Grendel;52;0;Grendel
Bisage;53;0;Bisage
Kaktor;54;0;Kaktor
Kaktor;54;1;Flucht ergriffen...
Tombery;55;0;Tombery
Tombery;55;1;Tombery ist hingefallen...
Qual;56;0;Qual
Fongo Ongo;57;0;Fongo Ongo
Galchimäsera;58;0;Galchimäsera
Koyo-Koyo;59;0;Koyo-Koyo
Koyo-Koyo;59;1;“Ich will Elixire!”
Koyo-Koyo;59;2;“Mehr Elixire!”
Koyo-Koyo;59;3;“Danke!”
Koyo-Koyo;59;4;“Aaahhhhh......”
Ifrit;60;0;Ifrit
Ifrit;60;1;{Squall} “Wirken Hitze-Zauber nicht!?”
Ifrit;60;2;{Quistis} “Ich wußte, daß es nicht wirkt.”
Ifrit;60;3;“Nicht schlecht für einen Menschen.”
Ifrit;60;4;“Ihr habt {Shiva}!?”
Ifrit;60;5;“Ich...verliere gegen Menschen!?”
Ifrit;60;6;“Gegen {Shiva} bin ich machtlos...”
Ifrit;60;7;“Ich verleihe euch meine Macht.”
Ifrit;60;8;“Ihr aufmüpfigen Menschen!”
Minotaurus;61;0;Minotaurus
Minotaurus;61;1;Minotaurus “Ich ziehe mich zurück...”
Minotaurus;61;2;Minotaurus “Wir haben verloren...!?”
Minotaurus;61;3;Minotaurus “Meine Helden!
Minotaurus;61;4;Minotaurus “Nehmt uns bitte auf!”
Secreto;62;0;Secreto
Secreto;62;1;Secreto “Die sind ja stark!”
Secreto;62;2;Secreto “Ich bin weg...”
Secreto;62;3;Secreto “Wir haben verloren!?”
Secreto;62;4;Secreto “Ok! Wir kommen mit!”
Kommandeur;63;0;Kommandeur
Kommandeur;63;1;“Schluß mit dem Spielchen!”
Kommandeur;63;2;“Hmpf, meine Truppe!”
Kommandeur;63;3;“Kommen die vom Garden?”
Kommandeur;63;4;“Nicht nachgeben!”
Kommandeur;63;5;“Zauber-Angriff!”
Cerberus;64;0;Cerberus
Cerberus;64;1;{Squall} “Die benutzen auch G.F.?”
Cerberus;64;2;{Quistis} “Hier sind normal keine G.F...”
Cerberus;64;3;{Zell} “Die benutzen G.F.!?”
Cerberus;64;4;{Selphie} “Das ist jaa ein G.F.!”
Cerberus;64;5;{Irvine} “Wo kommt der denn her?”
Cerberus;64;6;{Rinoa} “Ist das ein G.F.?”
Cerberus;64;7;{Squall} “Den holen wir uns.”
Cerberus;64;8;{Quistis} “Der gehört jetzt uns.”
Cerberus;64;9;{Zell} “Den lassen wir mitgehen!”
Cerberus;64;10;{Selphie} “Haben will!”
Cerberus;64;11;{Irvine} “Wenn ihn keiner will...”
Cerberus;64;12;{Rinoa} “Lieber G.F., komm zu uns.”
Cerberus;64;13;Cerberus “...wie selbstsicher.”
Cerberus;64;14;Cerberus “Wir...werden ja sehen.”
Cerberus;64;15;Cerberus “Zeigt mir eure Macht!”
Cerberus;64;16;Cerberus “Ich habe eure Macht gespürt.”
Diabolos;65;0;Diabolos
Diabolos;65;1;“Wer wagt es, mich im Schlaf zu stören?”
Diabolos;65;2;“Es scheint, ich habe zu lange geruht...”
Bahamut;66;0;Bahamut
Bahamut;66;1;“Man nennt mich... Bahamut.”
Bahamut;66;2;{Squall} “Der König der G.F... Bahamut.”
Bahamut;66;3;{Zell} “Der König der G.F... Bahamut.”
Bahamut;66;4;{Quistis} “Der König der G.F... Bahamut.”
Bahamut;66;5;{Selphie} “Der König der G.F... Bahamut.”
Bahamut;66;6;{Irvine} “Der König der G.F... Bahamut.”
Bahamut;66;7;{Rinoa} “Der König der G.F... Bahamut.”
Bahamut;66;8;Bahamut “Ihr nennt uns...G.F.?”
Bahamut;66;9;Bahamut “So nutzt ihr also...”
Bahamut;66;10;Bahamut “...unsere Macht.”
Bahamut;66;11;Bahamut “Habt ihr die Antwort gefunden?”
Celt Hisari;67;0;Celt Hisari
Celt Hisari;67;1;Norg “Gfrrr...”
Celt Hisari;67;2;Norg “Rot, Gelb, Blau.”
Celt Hisari;67;3;Norg “Wenn-Rot-dann-viel-Zauber!”
Celt Hisari;67;4;Norg “Solange-Farbe-nicht-verändert,”
Celt Hisari;67;5;Norg “mache-SEED-mit-Zauber-fertig!”
Garden-Ausbilder;68;0;Garden-Ausbilder
Garden-Ausbilder;68;1;“Greift sie an!”
Garden-Ausbilder;68;2;“Norg führt den Garden!”
Garden-Ausbilder;68;3;“Los, Angriff!”
Garden-Ausbilder;68;4;“Hier kommt ihr nicht weiter.”
Garden-Ausbilder;68;5;“Der Garden gehört Norg!”
Garden-Ausbilder;68;6;“SEEDS!”
Garden-Ausbilder;68;7;“Wieso helft ihr Cid!?”
Garden-Ausbilder;68;8;“Ihr widersetzt euch Norg!?”
Garden-Ausbilder;68;9;“Sollen euch die Monster holen!”
Odin;69;0;Odin
Odin;69;1;Odin “Sagenhaft!”
Odin;69;2;Odin “Meine Macht gehört euch.”
Odin;69;3;Odin “Wann immer ihr euch nach mir sehnt,”
Odin;69;4;Odin “werde ich zur Stelle sein.”
Odin;69;5;Odin “Ihr seid des Schicksals.”
Odin;69;6;Odin “Ihr sollet mein Schwert nähren!!”
Galbadia-Soldat;70;0;Galbadia-Soldat
Galbadia-Soldat;70;1;“Sind das Verstärkungstruppen?”
Galbadia-Soldat;70;2;“Das sind doch noch Kinder.”
Galbadia-Soldat;70;3;“Von Wegen, Elite-Kämpfer.”
Galbadia-Soldat;70;4;“Die Spezialeinheit SEED?”
Galbadia-Soldat;70;5;“Waaaahhhhhh!!”
Elitesoldat;71;0;Elitesoldat
Elitesoldat;71;1;“Laßt sie nicht entkommen!”
Elitesoldat;71;2;Offizier “Scheiß Überhitztung!”
Elitesoldat;71;3;Soldat 2 “Was sollen wir machen, Sir?”
Elitesoldat;71;4;Soldat 1 “Es läßt sich nicht mehr steuern.”
Elitesoldat;71;5;Offizier “Wir reparieren das Ding später!”
Elitesoldat;71;6;“Waaahhhh! Heeeeißßß!!”
Wedge;72;0;Wedge
Wedge;72;1;Biggs “Scheiße, sind die stark!”
Wedge;72;2;Wedge “Wahhh, ahhh!”
Wedge;72;3;Wedge “Sir!”
Wedge;72;4;Wedge “Ist die Antenne repariert?”
Wedge;72;5;Wedge “Whoa! Hier sind ja Feinde!”
Wedge;72;6;Biggs “Hey, Wedge! Wo warst du!?”
Wedge;72;7;Biggs “Diesen Monat gibt{xba}s keinen Sold!”
Wedge;72;8;Wedge “Ich hätte nicht herkommen dürfen...”
Biggs;73;0;Biggs
Biggs;73;1;Biggs “Macht euch bereit, Kinder!”
Biggs;73;2;Biggs “Scheiße, sind die stark!”
Biggs;73;3;Wedge “Sir!”
Biggs;73;4;Wedge “Ist die Antenne repariert?”
Biggs;73;5;Wedge “Whoa! Hier sind ja Feinde!”
Biggs;73;6;Biggs “Wedge! Wo warst du!?”
Biggs;73;7;Biggs “Diesen Monat gibt{xba}s keinen Sold!”
Biggs;73;8;Wedge “Ich hätte nicht herkommen dürfen...”
Biggs;73;9;Wedge “Sir, es sieht schlecht aus!”
Biggs;73;10;Biggs “Jammere nicht herum!”
Biggs;73;11;Biggs “Wa-was zum Henker!?”
Double;74;0;Double
Double;74;1;Double “He...hereingefal...len”
Double;74;2;Double “Re...bellen...töten...”
Double;74;3;Double “Das...macht...Spaß...Spaß...”
Double;74;4;Double “Häähähä...hihihihi...”
Wachsoldat;75;0;Wachsoldat
Wachsoldat;75;1;“Halt, was ist da los!?”
Wachsoldat;75;2;“Wer da!?”
Wachsoldat;75;3;“Die SEEDS fliehen!”
Wachsoldat;75;4;“Da sind sie!”
Wachsoldat;75;5;“Ihr entkommt uns nicht!”
Norg;76;0;Norg
Norg;76;1;Norg “Verdämmt-SEEDS!”
Norg;76;2;Norg “Däs-ist-mein-Gärden!”
Norg;76;3;Norg “Ihr-werdet-däs-bereuen!”
Norg;76;4;Norg “Muäääh... ich-känn-nicht-mehr!”
Norg;76;5;Norg “Mehr-Ängst-vor-Euch-als-Hexe!”
Norg;76;6;Norg “Womit-häb-ich-däs-verdient...”
Esthar-Soldat;77;0;Esthar-Soldat
Esthar-Soldat;78;0;Esthar-Soldat
Solt-Hisari;79;0;Solt-Hisari
Sugt-Hisari;80;0;Sugt-Hisari
Gun-Blade;81;0;Gun-Blade
Tombery-König;82;0;Tombery-König
Tombery-König;82;1;Er ist etwas eingeschüchtert
Tombery-König;82;2;“Es tut mir Leid!”
Tombery-König;82;3;Tombery schließt sich euch an!!
