Section data name;Section Widget id;Text Sub id;Text
GIM52A;0;0;GIM52A
Blinura;1;0;Blinura
Bipla;2;0;Bipla
Bipla;2;1;{Irvine} ─Me había olvidado de decírtelo...
Bipla;2;2;─Para aplicar mi técnica especial Duelo...
Bipla;2;3;... selecciona el tipo de bala...
Bipla;2;4;... y aprieta el gatillo {R1}.
Álagar;3;0;Álagar
Bejelmejel;4;0;Bejelmejel
Bejelmejel;4;1;Está sonriente.
Bejelmejel;4;2;Está enfadado.
Bejelmejel;4;3;¡Bejelmejel se ha reído!
Bejelmejel;4;4;¡Bejelmejel se ha puesto furioso!
Bejelmejel;4;5;¡Contraataque de furia de Bejelmejel!
Bejelmejel;4;6;¡Contraataque de risa de Bejelmejel!
Medusa;5;0;Medusa
SAM08G;6;0;SAM08G
GIM47N;7;0;GIM47N
Unipladio;8;0;Unipladio
Unipladio;8;1;¡Ha perdido el cuerno!
Buel;9;0;Buel
Andro;10;0;Andro
Esfinge;11;0;Esfinge
Foca mutante;12;0;Foca mutante
Venoma;13;0;Venoma
Venoma;13;1;Seifer ─¡Eh, vosotros, escuchad!
Venoma;13;2;─El último ataque da más experiencia.
Venoma;13;3;─Dejadlo para mí, ¿entendido?
Grat;14;0;Grat
Cocatoris;15;0;Cocatoris
Kedachiku;16;0;Kedachiku
Mordélago;17;0;Mordélago
Mordélago;17;1;{Quistis} ─Recuerda, {Squall}...
Mordélago;17;2;─{R1} es el gatillo del sable pistola.
Mordélago;17;3;─Úsalo al golpear para causar más daño.
Blitz;18;0;Blitz
Blitz;18;1;¡Blitz se ha cargado de electricidad!
Blitz;18;2;Está cargado.
Focarrol;19;0;Focarrol
Focarrol;20;0;Focarrol
Guésper;21;0;Guésper
Sombra;22;0;Sombra
Seisojos;23;0;Seisojos
Globulus;24;0;Globulus
Invencible;25;0;Invencible
Acorazado;26;0;Acorazado
Acorazado;26;1;¡El acorazado se ha caído!
Acorazado;26;2;¡El acorazado se ha levantado!
Mosquito;27;0;Mosquito
Mosquito;27;1;{Quistis} ─Recuerda, {Squall}...
Mosquito;27;2;─{R1} es el gatillo del sable pistola.
Mosquito;27;3;─Úsalo al golpear para causar más daño.
Mosquito;27;4;─Usa también {R1} para la técnica Samurai.
Abrazador;28;0;Abrazador
Abrazador;28;1;Estado de defensa normal
Abrazador;28;2;Estado de defensa total
Abrazador;28;3;Estado de defensa mágica
Abrazador;28;4;Estado de defensa física
Neodragón;29;0;Neodragón
Neodragón;29;1;─ACTIVANDO MODO CONTRAATAQUE
Neodragón;29;2;─ATAQUE ELEMENTAL NULO, EXCEPTO...
Túlipo;30;0;Túlipo
Wendigo;31;0;Wendigo
Gueila;32;0;Gueila
Namtal-utok;33;0;Namtal-utok
Namtal-utok;33;1;{Zell} ─¿Qué... qué porras...?
Namtal-utok;33;2;{Squall} ─Así que era un monstruo...
Namtal-utok;33;3;{Selphie} ─¡Qué pinta más asquerosa!
Oso de Trabia;34;0;Oso de Trabia
Tricéfalo;35;0;Tricéfalo
Langosta;36;0;Langosta
Cristalino;37;0;Cristalino
Cristalino;37;1;─¡ATACADME CON MAGIA O LO QUE SEA!
Cristalino;37;2;─¡OS ARREPENTIRÉIS!
Siniestra;38;0;Siniestra
Diestra;39;0;Diestra
Draco;40;0;Draco
Esqueleto;41;0;Esqueleto
Bom;42;0;Bom
Bom;42;1;{Quistis} ─El bom... monstruo de Fuego.
Bom;42;2;─Lo afecta el elemento Frío.
Bom;42;3;─Puedes comprobarlo con la magia Libra.
Gusano Ebis;43;0;Gusano Ebis
Ochú;44;0;Ochú
Adamantaimai;45;0;Adamantaimai
Quimera;46;0;Quimera
Molbol;47;0;Molbol
Férreo;48;0;Férreo
Bégimo;49;0;Bégimo
Arqueosaurio;50;0;Arqueosaurio
Arqueosaurio;50;1;{Quistis} ─¡Un arqueosaurio!
Arqueosaurio;50;2;─Cuidado {Squall}, es muy poderoso.
Arqueosaurio;50;3;─¡A veces lo mejor es huír!
Gran dragón;51;0;Gran dragón
Grendel;52;0;Grendel
Faz;53;0;Faz
Cactilio;54;0;Cactilio
Cactilio;54;1;Ha escapado...
Tomberi;55;0;Tomberi
Tomberi;55;1;El tomberi se ha caído...
Bengal;56;0;Bengal
Fungo;57;0;Fungo
Galkimasera;58;0;Galkimasera
Alienígena;59;0;Alienígena
Alienígena;59;1;─¡Dame Elixir!
Alienígena;59;2;─¡Más, más!
Alienígena;59;3;─¡Gracias!
Alienígena;59;4;─Ahhhhh...
Ifrit;60;0;Ifrit
Ifrit;60;1;{Squall} ─¡¿No lo afecta el Fuego?!
Ifrit;60;2;{Quistis} ─El Fuego no le hace nada...
Ifrit;60;3;─Hm... No está mal, para ser humanos.
Ifrit;60;4;─¡¿Tienen a {Shiva} como aliada?!
Ifrit;60;5;─Yo, Ifrit, perder ante simples humanos...
Ifrit;60;6;─Había subestimado a {Shiva}...
Ifrit;60;7;─De ahora en más os ayudaré.
Ifrit;60;8;─¡Insolentes humanos!
Minotauro;61;0;Minotauro
Minotauro;61;1;Minotauro ─Hermano, te los dejo a tí...
Minotauro;61;2;Minotauro ─Los hermanos, derrotados...
Minotauro;61;3;Minotauro ─Tenéis excepcional fuerza.
Minotauro;61;4;Minotauro ─Seremos vuestros aliados.
Seclet;62;0;Seclet
Seclet;62;1;Seclet ─¡Estos tíos son muy fuertes!
Seclet;62;2;Seclet ─Hermano, me han dao duro...
Seclet;62;3;Seclet ─Los hermanos, derrotaos...
Seclet;62;4;Seclet ─'ta bien... Iremo' con vosotros.
Comandante;63;0;Comandante
Comandante;63;1;─¡Ha llegado la hora de ponerse serios!
Comandante;63;2;─¡¿Cómo os atrevéis...?!
Comandante;63;3;─¿Serán del “jardín”?
Comandante;63;4;─¡A atacar su punto débil!
Comandante;63;5;─¡Los freiremos con magia!
Cerbero;64;0;Cerbero
Cerbero;64;1;{Squall} ─¿En Galbadia usan G. F.?
Cerbero;64;2;{Quistis} ─¿Aquí también usan G. F.?
Cerbero;64;3;{Zell} ─¿Estos tíos usan G. F.?
Cerbero;64;4;{Selphie} ─¿Será un G. F.?
Cerbero;64;5;{Irvine} ─¿Y esto? Antes no estaba...
Cerbero;64;6;{Rinoa} ─¿Esto... será un G. F.?
Cerbero;64;7;{Squall} ─Mejor que nos lo llevemos.
Cerbero;64;8;{Quistis} ─¿Por qué no nos lo llevamos?
Cerbero;64;9;{Zell} ─¿Nos lo llevamos, tíos?
Cerbero;64;10;{Selphie} ─¿Nos lo llevamos, nos lo llevamos?
Cerbero;64;11;{Irvine} ─Si aquí nadie lo usa...
Cerbero;64;12;{Rinoa} ─Señor G. F., con permiso...
Cerbero;64;13;Cerbero ─Os tenéis mucha confianza...
Cerbero;64;14;Cerbero ─A ver qué tal lo hacéis.
Cerbero;64;15;Cerbero ─¿Eso es todo? ¡Qué vergüenza!
Cerbero;64;16;Cerbero ─Más fuertes de lo que creía...
Diablo;65;0;Diablo
Diablo;65;1;─¿Quién ha osado despertarme?
Diablo;65;2;─Mi largo sueño me ha debilitado...
Bahamut;66;0;Bahamut
Bahamut;66;1;─Soy... Bahamut.
Bahamut;66;2;{Squall} ─El gran G. F. Bahamut.
Bahamut;66;3;{Zell} ─El gran G. F. Bahamut.
Bahamut;66;4;{Quistis} ─El gran G. F. Bahamut.
Bahamut;66;5;{Selphie} ─El gran G. F. Bahamut.
Bahamut;66;6;{Irvine} ─El gran G. F. Bahamut.
Bahamut;66;7;{Rinoa} ─El gran G. F. Bahamut.
Bahamut;66;8;Bahamut ─¿G. F.? ¿Te refieres a mí?
Bahamut;66;9;Bahamut ─¿Pretendéis utilizarme...
Bahamut;66;10;Bahamut ─... para vuestros fines? ¡JA!
Bahamut;66;11;Bahamut ─¿Has hallado la respuesta...?
Trono blindado;67;0;Trono blindado
Trono blindado;67;1;Norg ─GARRRL...
Trono blindado;67;2;Norg ─AZUL - AMARILLO - ROJO.
Trono blindado;67;3;Norg ─¡ROJO - ES - MUCHA - MAGIA!
Trono blindado;67;4;Norg ─SI - NO - CAMBIA - COLOR...
Trono blindado;67;5;Norg ─... MI - MAGIA - SERÁ - LETAL.
Empleado;68;0;Empleado
Empleado;68;1;─¡A por ellos!
Empleado;68;2;─¡Norg es el único amo del “jardín”!
