Section data name;Section Widget id;Text Sub id;Text
ExoSkelet;0;0;ExoSkelet
Incube;1;0;Incube
Malaku;2;0;Malaku
Malaku;2;1;{Irvine}: Pour activer
Malaku;2;2;mon Limit Break
Malaku;2;3;utilise {R1}
Malaku;2;4;Pigé?
Bogomile;3;0;Bogomile
Koatl;4;0;Koatl
Koatl;4;1;Koatl crache!
Koatl;4;2;Koatl grogne!
Koatl;4;3;Koatl hurle!
Koatl;4;4;Attaque forcenée
Koatl;4;5;Attaque démoniaque
Koatl;4;6;Attaque hurlante
Xylopode;5;0;Xylopode
Barbarian;6;0;Barbarian
Pikasso;7;0;Pikasso
Licorne;8;0;Licorne
Licorne;8;1;La corne est brisée
Schizoïd;9;0;Schizoïd
Brahman;10;0;Brahman
Shiva;11;0;Shiva
Satyrux;12;0;Satyrux
Arconada;13;0;Arconada
Arconada;13;1;Seifer: Le coup de grâce
Arconada;13;2;détermine le niveau d'EXP
Arconada;13;3;Réserve-le moi!
Orchida;14;0;Orchida
Gallus;15;0;Gallus
Larva;16;0;Larva
Nocturnus;17;0;Nocturnus
Nocturnus;17;1;{Quistis}: Tu as compris, {Squall}?
Nocturnus;17;2;{R1} c'est la gâchette
Nocturnus;17;3;Utilise-la au moment de frapper
Tikal;18;0;Tikal
Tikal;18;1;Tikal s'est rechargé!
Tikal;18;2;Tikal se recharge!
Diodon;19;0;Diodon
Phantom;20;0;Phantom
Elastos;21;0;Elastos
Formicide;22;0;Formicide
Polyphage;23;0;Polyphage
Carnidea;24;0;Carnidea
Protesis;25;0;Protesis
Scavenger;26;0;Scavenger
Scavenger;26;1;Scavenger est à terre
Scavenger;26;2;Scavenger se relève
Elmidea;27;0;Elmidea
Elmidea;27;1;{Quistis}: Pour un effet maximum
Elmidea;27;2;appuie sur {R1}
Elmidea;27;3;au moment de frapper
Elmidea;27;4;Même chose pour le Renzokuken!
Héra;28;0;Héra
Héra;28;1;Morph défensif normal
Héra;28;2;Morph défensif global
Héra;28;3;Morph anti-magie
Héra;28;4;Morph anti-armes
Acron;29;0;Acron
Acron;29;1;La force élémentale que je n'utilise pas
Acron;29;2;serait capable de me détruire...
Eiffel;30;0;Eiffel
Wendigo;31;0;Wendigo
Aphide;32;0;Aphide
Ecorché;33;0;Ecorché
Ecorché;33;1;{Zell}: C'est quoi ce truc?
Ecorché;33;2;{Squall}: Un monstre
Ecorché;33;3;{Selphie}: Ouh, qu'il est moche!
Berserker;34;0;Berserker
Adéphage;35;0;Adéphage
Selek;36;0;Selek
Krystal;37;0;Krystal
Krystal;37;1;Vous êtes pathétiques!
Krystal;37;2;Quelle impudence!
Gangrène;38;0;Gangrène
Fatima;39;0;Fatima
Moloch;40;0;Moloch
Weevil;41;0;Weevil
Succube;42;0;Succube
Succube;42;1;{Quistis}: Un monstre élémental
Succube;42;2;Utilise une attaque de glace
Succube;42;3;Découvre ses faiblesses avec le Scan
Célébis;43;0;Célébis
Trogiidae;44;0;Trogiidae
Ao;45;0;Ao
Chimaira;46;0;Chimaira
Xylomid;47;0;Xylomid
Ekarissor;48;0;Ekarissor
Kanibal;49;0;Kanibal
T-Rex;50;0;T-Rex
T-Rex;50;1;{Quistis}: Un tyrannosaure!
T-Rex;50;2;{Squall} attention!
T-Rex;50;3;La fuite est préférable!
Griffon;51;0;Griffon
Feng;52;0;Feng
Cariatide;53;0;Cariatide
Pampa;54;0;Pampa
Pampa;54;1;Fuite
Tomberry;55;0;Tomberry
Tomberry;55;1;Yodo est blessé
Marsupial;56;0;Marsupial
Fungus;57;0;Fungus
Draconus;58;0;Draconus
Koyo K;59;0;Koyo K
Koyo K;59;1;J'ai besoin d'élixirs!
Koyo K;59;2;Il me faut un autre élixir!
Koyo K;59;3;Merci
Koyo K;59;4;Ah! Je revis...
Ifrit;60;0;Ifrit
Ifrit;60;1;{Squall}: La magie du feu est inefficace!
Ifrit;60;2;{Quistis}: Le feu n'a aucun effet!
Ifrit;60;3;Surprenants humains
Ifrit;60;4;Ils possèdent {Shiva}!”
Ifrit;60;5;Perdre face à des êtres aussi frustres!
Ifrit;60;6;La force de {Shiva} est dévastatrice
Ifrit;60;7;J'abdique...
Ifrit;60;8;Arrogants jeunes gens!
Taurux;61;0;Taurux
Taurux;61;1;Taurux: Notre destin est joué
Taurux;61;2;Taurux: Les forces étaient inégales
Taurux;61;3;Taurux: Fascinants humains
Taurux;61;4;Taurux: Nous serons vos serviteurs
