Section data name;Section Widget id;Text Sub id;Text
Dummy;0;0;Dummy
GIM52A;1;0;GIM52A
Blinura;2;0;Blinura
Trusthevis;3;0;Trusthevis
Trusthevis;3;1;{Irvine} “Ah, mi ero dimenticato di dirvelo.”
Trusthevis;3;2;“La mia tecnica speciale è Shot!”
Trusthevis;3;3;“Scegli le munizioni, premi {R1} e...”
Trusthevis;3;4;“BANG BANG!!!”
Geezard;4;0;Geezard
Belhelmelhel;5;0;Belhelmelhel
Belhelmelhel;5;1;Ride
Belhelmelhel;5;2;È adirato
Belhelmelhel;5;3;Belhelmelhel ha riso!
Belhelmelhel;5;4;Belhelmelhel è adirato!
Belhelmelhel;5;5;Belhelmelhel attacca furibondo!
Belhelmelhel;5;6;Belhelmelhel attacca ridendo!
Glacial eye;6;0;Glacial eye
SAM08G;7;0;SAM08G
GIM47N;8;0;GIM47N
Mesmerize;9;0;Mesmerize
Mesmerize;9;1;Il corno si è spezzato!
Mesmerize;9;2;Il corno si è spezzato!
Buel;10;0;Buel
Sphinx;11;0;Sphinx
Andro;12;0;Andro
Gojusheel;13;0;Gojusheel
Anacondar;14;0;Anacondar
Anacondar;14;1;Seifer “Ehi, voi ascoltatemi!”
Anacondar;14;2;“Lasciate a me l'ultimo colpo.”
Anacondar;14;3;“Chi fa fuori il nemico prende più EXP.”
Anacondar;14;4;Seifer “Ehi, voi ascoltatemi!”
Grat;15;0;Grat
Cokatoris;16;0;Cokatoris
Kedachiku;17;0;Kedachiku
Red bat;18;0;Red bat
Red bat;18;1;{Quistis} “{Squall}, ricorda!”
Red bat;18;2;“{R1} è il grilletto del Gunblade.”
Red bat;18;3;“Premilo mentre colpisci il nemico!”
Red bat;18;4;{Quistis} “{Squall}, ricorda!”
Blitz;19;0;Blitz
Blitz;19;1;Blitz si ricarica!
Blitz;19;2;Ricarica in corso......
Focaral;20;0;Focaral
Focaral;21;0;Focaral
Gesper;22;0;Gesper
Creeps;23;0;Creeps
Melth dragon;24;0;Melth dragon
Bloferth;25;0;Bloferth
Invinta;26;0;Invinta
Armadodo;27;0;Armadodo
Armadodo;27;1;Armadodo è caduto!
Armadodo;27;2;Armadodo si è rialzato!
Lesmathor;28;0;Lesmathor
Lesmathor;28;1;{Quistis} “{Squall}, ricorda!”
Lesmathor;28;2;“{R1} è il grilletto del Gunblade.”
Lesmathor;28;3;“Premilo mentre colpisci il nemico!”
Lesmathor;28;4;“Premi {R1} anche con il Renzokuken!”
Double Hagger;29;0;Double Hagger
Double Hagger;29;1;Assetto di difesa normale
Double Hagger;29;2;Assetto di difesa completa
Double Hagger;29;3;Assetto di difesa magica
Double Hagger;29;4;Assetto di difesa fisica
Trythos;30;0;Trythos
Trythos;30;1;“INIZIO MODALITÀ ATTACCO.”
Trythos;30;2;“ATTACCO ELEMENTALE.”
Greyos;31;0;Greyos
Wendigo;32;0;Wendigo
Gyala;33;0;Gyala
Namtal Utoku;34;0;Namtal Utoku
Namtal Utoku;34;1;{Zell} “Oh oh! Ma che è questo?”
Namtal Utoku;34;2;{Squall} “Un mostro......?”
Namtal Utoku;34;3;{Selphie} “CHE SCHIFOOO!”
Namtal Utoku;34;4;{Zell} “Oh oh! Ma che è questo?”
Wild Hook;35;0;Wild Hook
Triarchigos;36;0;Triarchigos
Belos;37;0;Belos
Krysta;38;0;Krysta
Krysta;38;1;“PREPARATEVI!”
Krysta;38;2;“VI PENTIRETE DI COMBATTERE CON ME!”
Sinox;39;0;Sinox
Detox;40;0;Detox
Dragon Izolde;41;0;Dragon Izolde
Liforbidden;42;0;Liforbidden
Piros;43;0;Piros
Piros;43;1;{Quistis} “Piros è un mostro elem. Fuoco!”
Piros;43;2;“Usa attacchi di elemento Gelo!”
Piros;43;3;“Controlla i suoi punti deboli con Scan.”
Piros;43;4;{Quistis} “Piros è un mostro elem. Fuoco!”
Abyss Worm;44;0;Abyss Worm
Ochu;45;0;Ochu
Adamanthart;46;0;Adamanthart
Chimera;47;0;Chimera
Molboro;48;0;Molboro
Thythan;49;0;Thythan
